Generation,FrontIndex,IndividualIndex,ROI,Risk,WinRate
1,0,0,214.696858,-0.139959,45.017489
1,0,1,142.952646,-0.154633,60.018055
1,0,2,134.490443,-0.138952,64.924435
1,0,3,28.430226,-9.236772,83.333333
1,0,4,28.430226,-9.236772,83.333333
1,1,0,114.048940,-0.145472,57.497437
1,1,1,99.997733,-0.088344,62.847116
1,1,2,81.018157,-0.129830,64.089916
1,2,0,80.836355,-0.125542,56.312433
1,2,1,64.031916,-0.083952,61.008906
1,2,2,42.268864,-0.079337,62.037280
1,2,3,75.997122,-0.067906,62.088860
1,2,4,27.721780,-0.046165,63.975907
1,3,0,72.108688,-0.088592,42.325627
1,3,1,54.870518,-0.086376,52.969822
1,3,2,6.040739,-0.121070,53.061404
1,3,3,15.541655,-0.076231,53.784169
1,3,4,48.842962,-0.074809,60.636846
1,3,5,63.014974,-0.058508,60.985921
1,3,6,18.897533,-0.058038,61.611360
1,3,7,-3.938835,-0.030842,63.668051
1,4,0,33.494165,-0.070103,42.754004
1,4,1,33.494165,-0.070103,42.754004
1,4,2,30.237657,-0.047036,45.658249
1,4,3,24.598994,-0.068373,51.590567
1,4,4,18.339350,-0.070394,51.892247
1,4,5,17.726843,-0.067349,52.027767
1,4,6,19.883867,-0.043975,53.820293
1,4,7,8.928903,-0.072761,55.725142
1,4,8,11.365139,-0.045985,60.711641
1,4,9,-19.829926,-0.023410,61.427571
1,4,10,-38.723149,-0.004583,62.045752
1,4,11,-50.769181,0.017230,63.511164
1,5,0,8.978926,-0.059350,41.077771
1,5,1,15.707568,-0.054271,41.677588
1,5,2,8.081255,-0.060408,53.284703
1,5,3,-23.195824,-0.030057,55.353070
1,5,4,-25.461342,-0.018367,58.274418
1,5,5,-31.400004,-0.014006,59.498562
1,5,6,-39.691519,0.029726,59.925068
1,5,7,-41.315905,0.019325,60.509698
1,5,8,-48.987394,-0.000051,60.563045
1,5,9,-50.209301,0.006007,61.314713
1,5,10,-50.209301,0.006007,61.314713
1,5,11,-65.369095,0.045571,61.611612
1,6,0,2.817805,-0.052162,52.633071
1,6,1,-28.831625,-0.016162,54.141228
1,6,2,-27.355706,-0.001559,56.021111
1,6,3,-29.440218,0.015852,56.136450
1,6,4,-51.433215,-0.003601,57.903077
1,6,5,-39.420230,-0.003557,58.996107
1,6,6,-41.551490,0.033392,59.811610
1,6,7,-47.382055,0.028478,60.027366
1,6,8,-62.364079,0.022512,60.253036
1,7,0,1.696780,-0.043502,40.137185
1,7,1,-6.580060,-0.049760,50.869798
1,7,2,-1.533534,-0.048784,50.994277
1,7,3,-3.851074,-0.042612,51.027867
1,7,4,-15.324259,-0.047430,51.832984
1,7,5,-20.732995,-0.042507,52.360252
1,7,6,-30.932921,0.035906,52.741257
1,7,7,-45.351845,-0.004631,52.884968
1,7,8,-40.463436,0.004998,53.653963
1,7,9,-48.718952,0.018388,55.787654
1,7,10,-31.062359,0.019023,55.891327
1,7,11,-53.444376,0.006262,57.468028
1,7,12,-53.512680,0.000156,57.479725
1,7,13,-53.324414,0.017790,58.043134
1,7,14,-44.376465,0.022750,58.741210
1,8,0,0.000000,-0.000000,0.000000
1,8,1,-3.512005,-0.015880,40.694169
1,8,2,-3.636506,-0.046478,50.671814
1,8,3,-7.686971,-0.041165,50.811370
1,8,4,-25.695242,-0.030077,51.009605
1,8,5,-31.098470,-0.033617,51.736933
1,8,6,-42.354552,-0.011659,51.952281
1,8,7,-42.346990,-0.001974,52.207025
1,8,8,-49.470704,0.008407,52.216450
1,8,9,-55.006882,0.014695,52.487429
1,8,10,-32.295398,0.040737,52.611282
1,8,11,-53.851967,0.021531,52.768485
1,8,12,-51.860738,0.024192,52.987769
1,8,13,-32.770714,0.027339,53.004324
1,8,14,-56.505236,0.007704,53.195341
1,8,15,-56.393862,0.011226,56.474087
1,8,16,-59.047961,0.007423,56.959610
1,8,17,-59.047961,0.007423,56.959610
1,8,18,-54.348391,0.019406,57.996219
1,9,0,-14.714659,-0.039782,49.834926
1,9,1,-36.393247,-0.026080,50.393918
1,9,2,-30.028907,-0.024865,50.670004
1,9,3,-38.317232,-0.002576,50.984695
1,9,4,-39.888161,0.002556,51.171903
1,9,5,-55.287458,0.015487,51.970952
1,9,6,-33.334225,0.044317,52.513068
1,9,7,-56.973877,0.063292,52.567100
1,9,8,-58.016418,0.009071,52.934371
1,9,9,-57.419963,0.015886,53.516477
1,9,10,-64.060462,0.025076,56.057507
1,9,11,-69.060737,0.027656,56.794059
1,10,0,-18.410267,-0.033623,49.167386
1,10,1,-31.269468,-0.007579,50.197131
1,10,2,-41.683097,-0.023919,49.488460
1,10,3,-43.523963,-0.019700,49.650677
1,10,4,-38.940935,-0.008985,49.256297
1,10,5,-37.576079,0.045912,52.493261
1,10,6,-63.796482,0.046471,52.643278
1,10,7,-63.967593,0.038518,51.098480
1,10,8,-60.809817,0.041219,52.392759
1,10,9,-67.674325,0.033560,55.730958
1,11,0,-19.008726,-0.019770,42.442682
1,11,1,-19.265427,-0.032673,49.141818
1,11,2,-32.240029,-0.005861,50.152445
1,11,3,-65.717688,0.051556,52.506497
1,11,4,-65.717688,0.051556,52.506497
1,11,5,-72.916226,0.047757,52.363553
1,12,0,-27.601595,-0.022108,49.099897
1,12,1,-27.494575,-0.021488,46.000446
1,12,2,-20.254470,-0.021191,36.108103
1,12,3,-20.178454,0.011896,36.889115
1,12,4,-22.405664,0.039739,39.173544
1,12,5,-45.745137,-0.003917,49.257707
1,12,6,-46.716728,0.018315,50.067789
1,12,7,-67.147856,0.055173,52.089823
1,13,0,-39.656854,-0.005647,48.910728
1,13,1,-33.345555,-0.012443,48.509689
1,13,2,-30.856994,-0.021018,41.282712
1,13,3,-21.919980,-0.019416,36.046438
1,13,4,-20.946599,-0.019685,35.882723
1,13,5,-27.852224,0.060676,37.377212
1,13,6,-55.402408,0.009526,48.911146
1,13,7,-61.880157,0.026331,50.037021
1,13,8,-48.749546,0.021019,49.907001
1,13,9,-55.402003,0.031051,50.063218
1,13,10,-80.215010,0.085109,50.686303
1,13,11,-80.215010,0.085109,50.686303
1,13,12,-76.166852,0.070300,50.143895
1,13,13,-74.529737,0.077807,50.641034
1,14,0,-35.137395,-0.010846,44.625434
1,14,1,-50.401426,0.008737,48.504726
1,14,2,-45.033709,0.012653,48.279353
1,14,3,-40.468086,-0.012319,47.917851
1,14,4,-53.221161,0.022186,49.112956
1,14,5,-55.192779,0.022114,48.679331
1,15,0,-36.560672,-0.009532,42.612460
1,15,1,-55.841297,0.010811,48.397079
1,15,2,-53.214209,0.014478,48.083997
1,15,3,-41.815035,0.110636,45.206949
1,15,4,-45.570614,-0.006295,44.050212
1,15,5,-47.446848,-0.004507,47.548400
1,15,6,-69.601546,0.023045,48.696106
1,15,7,-68.729640,0.034270,48.487343
1,16,0,-37.816371,0.010658,36.608735
1,16,1,-40.745989,-0.006817,40.554393
1,16,2,-42.660586,0.031683,40.730351
1,16,3,-67.418878,0.023574,48.244175
1,16,4,-58.520415,0.024916,47.883173
1,16,5,-66.980619,0.022743,47.815842
1,16,6,-47.623418,-0.002646,42.828392
1,16,7,-50.260844,-0.000419,47.180792
1,17,0,-39.492609,0.086145,31.372800
1,17,1,-41.396126,0.018219,39.740362
1,17,2,-63.935482,0.027415,47.490305
1,17,3,-63.887380,0.040320,47.510446
1,17,4,-49.454947,-0.001903,40.129783
1,17,5,-56.912874,0.027632,46.206666
1,17,6,-54.477099,0.030146,44.316226
1,17,7,-61.976457,0.024471,46.146748
1,17,8,-54.477099,0.030146,44.316226
1,18,0,-72.443915,0.058544,46.806266
1,18,1,-56.935034,0.001317,39.412813
1,18,2,-55.870803,0.013502,36.318485
1,18,3,-57.712695,0.031871,44.336141
1,18,4,-69.777622,0.036566,46.191798
1,18,5,-68.208186,0.028682,45.599072
1,18,6,-67.621119,0.058077,46.040684
1,19,0,-57.706671,0.035795,37.688168
1,19,1,-59.859435,0.017280,39.283312
1,19,2,-58.266310,0.028463,32.616563
1,19,3,-68.476336,0.057983,45.592775
1,19,4,-69.630853,0.036986,45.047493
1,19,5,-69.937961,0.044417,45.349512
1,19,6,-74.604917,0.035363,44.412976
1,19,7,-68.476336,0.057983,45.592775
1,20,0,-61.281598,0.019328,38.833572
1,20,1,-60.823489,0.029750,34.572822
1,20,2,-67.785042,0.019141,37.988501
1,20,3,-76.591068,0.042085,43.727413
1,20,4,-72.167859,0.062945,44.154562
1,20,5,-78.681879,0.059660,45.206983
1,21,0,-67.747357,0.027683,37.407461
1,21,1,-71.490507,0.035020,38.183992
1,21,2,-91.013446,0.115189,41.880890
1,22,0,-68.178474,0.055065,34.339429
1,22,1,-77.808545,0.115819,35.605929
1,22,2,-80.002663,0.059629,36.203188
1,23,0,-72.408001,0.055574,32.888423
1,23,1,-82.088343,0.068613,33.911809
1,24,0,-80.060878,0.103696,32.159429
1,24,1,-82.238830,0.096693,32.193470
