Generation,FrontIndex,IndividualIndex,ROI,Risk,WinRate
41,0,0,13.268952,-23.404882,83.333333
41,0,1,96.085207,-1.031917,91.109123
41,0,2,755.049275,-0.395291,71.120365
41,0,3,13.268952,-23.404882,83.333333
41,0,4,566.592060,-0.238262,73.479906
41,0,5,755.049275,-0.395291,71.120365
41,0,6,14.680386,-18.332183,83.333333
41,0,7,15.813998,-8.302175,83.333333
41,0,8,120.022528,-0.571523,82.255309
41,0,9,346.304087,-0.354765,73.920475
41,0,10,563.742361,-0.239522,73.340892
41,0,11,112.722317,-0.702686,85.894576
41,0,12,96.085207,-1.031917,91.109123
41,0,13,328.849587,-0.350076,75.357458
41,0,14,222.458639,-0.333748,80.326370
41,0,15,43.257866,-3.477715,83.333333
41,0,16,14.680386,-18.332183,83.333333
41,0,17,722.229889,-0.387863,71.225889
41,0,18,569.177275,-0.238692,73.422617
41,0,19,39.483659,-7.707739,83.333333
41,0,20,112.722317,-0.702686,85.894576
41,0,21,83.064495,-2.632048,83.333333
41,0,22,223.981522,-0.333978,79.891003
41,0,23,274.164489,-0.361754,77.700975
41,0,24,563.742361,-0.239522,73.340892
41,0,25,722.229889,-0.387863,71.225889
41,0,26,272.835717,-0.368197,77.331460
41,0,27,274.164489,-0.361754,77.700975
41,0,28,83.064495,-2.632048,83.333333
41,0,29,342.477976,-0.347191,74.273335
41,0,30,227.517144,-0.330362,80.189481
41,0,31,89.429439,-2.336176,83.333333
41,0,32,272.835717,-0.368197,77.331460
41,0,33,39.483659,-7.707739,83.333333
41,0,34,96.085207,-1.031917,91.109123
41,0,35,89.429439,-2.336176,83.333333
41,0,36,722.229889,-0.387863,71.225889
41,0,37,43.257866,-3.477715,83.333333
41,0,38,15.813998,-8.302175,83.333333
41,0,39,15.813998,-8.302175,83.333333
41,0,40,566.592060,-0.238262,73.479906
41,0,41,342.477976,-0.347191,74.273335
41,0,42,96.085207,-1.031917,91.109123
41,0,43,346.304087,-0.354765,73.920475
41,0,44,89.429439,-2.336176,83.333333
41,0,45,83.064495,-2.632048,83.333333
41,0,46,272.835717,-0.368197,77.331460
41,0,47,96.085207,-1.031917,91.109123
41,0,48,227.517144,-0.330362,80.189481
41,0,49,226.260836,-0.332551,80.050089
41,0,50,96.085207,-1.031917,91.109123
41,0,51,226.260836,-0.332551,80.050089
41,0,52,223.981522,-0.333978,79.891003
41,0,53,567.726416,-0.238782,73.414336
41,0,54,346.304087,-0.354765,73.920475
41,0,55,43.257866,-3.477715,83.333333
41,0,56,566.226090,-0.239012,73.425239
41,0,57,563.742361,-0.239522,73.340892
41,0,58,566.226090,-0.239012,73.425239
41,0,59,223.981522,-0.333978,79.891003
41,0,60,569.177275,-0.238692,73.422617
41,0,61,567.726416,-0.238782,73.414336
41,0,62,13.268952,-23.404882,83.333333
41,0,63,14.680386,-18.332183,83.333333
41,0,64,569.177275,-0.238692,73.422617
41,0,65,96.085207,-1.031917,91.109123
41,0,66,96.085207,-1.031917,91.109123
41,0,67,96.085207,-1.031917,91.109123
41,0,68,96.085207,-1.031917,91.109123
41,0,69,96.085207,-1.031917,91.109123
41,0,70,96.085207,-1.031917,91.109123
41,0,71,96.085207,-1.031917,91.109123
41,0,72,96.085207,-1.031917,91.109123
41,0,73,96.085207,-1.031917,91.109123
41,0,74,96.085207,-1.031917,91.109123
41,0,75,96.085207,-1.031917,91.109123
