Generation,IndividualID,FrontRank,ShortMA,LongMA,BuyThresh,SellThresh,StopLoss,TakeProfit,ROI,Risk,WinRate,CrowdingDistance
31,0,0,26,52,8.219808,9.202565,7.251220,5.223972,681.478565,-0.349176,67.320442,inf
31,1,0,25,30,6.795737,2.018307,4.531438,6.246282,13.814849,-20.579139,83.333333,inf
31,2,0,26,56,8.334447,7.502740,7.547818,5.035837,657.307181,-0.324960,68.175980,inf
31,3,0,26,56,8.335686,7.580820,7.516681,5.151207,714.614597,-0.335311,68.156838,inf
31,4,0,25,30,6.844503,2.301808,4.564061,6.224301,13.814849,-20.579139,83.333333,inf
31,5,0,23,30,6.702618,2.937902,5.079901,6.699928,127.978715,-1.576541,89.898990,inf
31,6,0,23,30,6.727507,2.848510,5.079058,6.907766,127.978715,-1.576541,89.898990,0.755321
31,7,0,25,31,7.426576,2.964640,5.012758,6.662971,41.645635,-3.446150,83.333333,0.671317
31,8,0,23,30,6.727469,2.989875,5.079034,6.906692,127.978715,-1.576541,89.898990,0.473055
31,9,0,25,31,7.516735,3.850219,4.233323,5.901962,29.400378,-12.397965,83.333333,0.426165
31,10,0,25,31,7.479085,3.731144,4.971886,6.597280,41.645635,-3.446150,83.333333,0.290792
31,11,0,25,31,7.516349,3.686123,4.462835,5.948808,29.400378,-12.397965,83.333333,0.219192
31,12,0,25,31,7.544489,4.048734,5.180963,7.881643,34.828707,-3.826707,83.333333,0.218605
31,13,0,25,31,7.515828,3.686587,5.034027,6.220462,32.823395,-8.057343,83.333333,0.217169
31,14,0,25,31,7.515828,3.686587,5.034027,6.220462,32.823395,-8.057343,83.333333,0.213762
31,15,0,25,31,7.528347,3.416744,5.307335,6.687325,42.715615,-3.107068,83.333333,0.121665
31,16,0,25,31,7.556074,3.836630,5.848885,6.690237,42.715615,-3.107068,83.333333,0.075566
31,17,0,26,52,8.219808,9.202565,7.251220,5.223972,681.478565,-0.349176,67.320442,0.047324
31,18,0,26,52,8.274156,9.506145,6.904930,5.253983,662.748485,-0.348493,67.320603,0.044835
31,19,0,26,52,8.274156,9.506145,6.904930,5.253983,662.748485,-0.348493,67.320603,0.027385
31,20,0,25,30,6.791740,2.055114,4.557228,6.235247,13.814849,-20.579139,83.333333,0.022240
