Generation,IndividualID,FrontRank,ShortMA,LongMA,BuyThresh,SellThresh,StopLoss,TakeProfit,ROI,Risk,WinRate,CrowdingDistance
181,0,0,22,31,8.680258,8.332933,4.130065,0.899806,106.416168,-1.019715,92.513369,inf
181,1,0,29,49,7.050900,3.104228,6.954882,7.236371,650.233503,-0.404893,68.824062,inf
181,2,0,25,31,7.976591,9.092925,10.000000,5.707371,28.075157,-31.835982,83.333333,inf
181,3,0,25,31,7.938144,7.521844,9.359464,5.488065,28.075157,-31.835982,83.333333,inf
181,4,0,25,46,7.105720,7.215010,6.371098,0.944481,1038.366831,-0.349694,75.712166,inf
181,5,0,25,46,7.091917,7.222590,6.312828,0.967113,1082.883384,-0.358016,75.607741,inf
181,6,0,25,31,7.535353,8.863357,9.850264,5.876452,29.400378,-12.397965,83.333333,0.579881
181,7,0,25,31,7.905867,7.626892,9.186968,5.723454,28.402025,-30.626473,83.333333,0.579881
181,8,0,24,31,4.814359,8.886229,9.999077,5.200313,172.961940,-0.487794,77.062473,0.377951
181,9,0,25,46,7.105769,7.215030,6.370664,0.944217,1038.366831,-0.349694,75.712166,0.368230
181,10,0,29,49,7.118006,5.156143,7.222670,4.295067,508.726224,-0.361947,70.454556,0.318554
181,11,0,24,31,4.811982,8.884469,9.999040,5.207899,172.961940,-0.487794,77.062473,0.297996
181,12,0,25,46,7.092369,7.231848,6.310173,1.010556,1067.294471,-0.359344,75.334654,0.219996
181,13,0,29,49,7.148671,3.546819,7.173870,4.297309,517.559221,-0.361932,70.474199,0.205175
181,14,0,26,36,7.178361,5.037718,7.946591,0.975380,142.961753,-0.642323,88.725222,0.201233
181,15,0,25,31,4.992200,9.315076,9.995879,5.351541,130.394734,-0.818624,84.633475,0.172726
181,16,0,23,30,7.595861,9.971629,10.000000,5.889764,44.741334,-7.259277,83.333333,0.165019
181,17,0,25,31,7.533570,9.607737,9.859595,6.305078,32.823395,-8.057343,83.333333,0.149156
181,18,0,25,31,7.522558,8.933996,9.798015,5.966346,29.400378,-12.397965,83.333333,0.141103
181,19,0,23,30,7.529525,9.812431,9.999204,6.361770,53.250085,-3.471236,83.333333,0.128374
