ShortMA,LongMA,BuyThresh,SellThresh,StopLoss,TakeProfit,ROI,Risk,WinRate,Strength,RawFitness,Density,SPEA2Fitness
21,30,9.28597,0.437633,9.99241,3.10877,80.106,-1.26947,90.9091,47,0,0.5,0.5
28,32,4.43125,7.35608,6.30443,1.16598,16.3293,-0.270214,72.4705,5,8903,0.49502,8903.5
26,32,4.43125,7.29325,6.4094,1.12789,161.973,-0.614787,86.2626,58,0,0.5,0.5
25,58,9.25454,9.04843,9.98789,7.13209,237.952,-0.247668,64.5084,10,485,0.494285,485.494
21,30,8.88126,4.5572,9.0056,3.22912,54.9073,-0.600523,81.0381,22,7324,0.495674,7324.5
26,61,9.53546,9.76258,9.9777,7.01499,197.611,-0.236384,64.58,10,509,0.494285,509.494
29,35,2.99079,4.03697,8.02482,6.25996,401.859,-0.534205,75.1176,39,0,0.5,0.5
21,30,9.73474,0.768614,9.61294,4.10823,63.0747,-1.7851,88.3117,36,0,0.5,0.5
28,30,3.32287,3.85589,10,6.23324,-6.13176,0.284311,42.8922,0,9429,0.431281,9429.43
26,60,9.29535,9.18079,9.88948,7.67879,551.02,-0.358017,70.0154,26,29,0.493527,29.4935
26,30,4.46807,7.29603,6.05078,1.09735,18.6963,-0.378147,80.3863,11,8168,0.5,8168.5
26,32,4.46534,7.41322,8.1284,0.423109,78.3178,-0.362389,80.505,24,6137,0.49636,6137.5
21,31,9.34103,0.59699,9.74856,2.9422,63.3853,-0.600858,82.7312,29,7009,0.495674,7009.5
21,30,9.7901,0.45307,9.62941,4.11979,63.0747,-1.7851,88.3117,36,0,0.5,0.5
27,32,4.17596,7.62048,4.90447,1.0353,116.426,-0.669466,88.2922,56,0,0.5,0.5
26,32,4.47861,7.3056,6.37573,0.969077,160.51,-0.602038,86.4868,56,0,0.5,0.5
23,30,7.95266,3.56299,10,5.56124,47.3242,-7.08668,83.3333,23,0,0.5,0.5
