Generation,FrontIndex,IndividualIndex,ROI,Risk,WinRate
91,0,0,810.299164,-0.383039,72.341108
91,0,1,723.590794,-0.277173,74.262686
91,0,2,122.909099,-1.133073,92.121212
91,0,3,13.268952,-23.404882,83.333333
91,0,4,13.268952,-23.404882,83.333333
91,0,5,581.747723,-0.296719,74.913583
91,0,6,178.377268,-0.438310,77.469463
91,0,7,122.909099,-1.133073,92.121212
91,0,8,13.268952,-23.404882,83.333333
91,0,9,38.604006,-8.899534,83.333333
91,0,10,14.680386,-18.332183,83.333333
91,0,11,124.039725,-0.569768,82.681613
91,0,12,13.268952,-23.404882,83.333333
91,0,13,14.680386,-18.332183,83.333333
91,0,14,604.470450,-0.289058,74.795181
91,0,15,810.299164,-0.383039,72.341108
91,0,16,157.805665,-0.412557,79.130576
91,0,17,723.590794,-0.277173,74.262686
91,0,18,39.483659,-7.707739,83.333333
91,0,19,44.809305,-4.539241,83.333333
91,0,20,178.377268,-0.438310,77.469463
91,0,21,97.677567,-2.183550,83.333333
91,0,22,157.805665,-0.412557,79.130576
91,0,23,44.809305,-4.539241,83.333333
91,0,24,49.190444,-3.306674,83.333333
91,0,25,39.483659,-7.707739,83.333333
91,0,26,38.604006,-8.899534,83.333333
91,0,27,75.219903,-3.015105,83.333333
91,0,28,173.102191,-0.425584,77.587219
91,0,29,172.041038,-0.409122,78.502550
91,0,30,122.909099,-1.133073,92.121212
91,0,31,170.212363,-0.401842,78.638434
91,0,32,50.617903,-3.184946,83.333333
91,0,33,124.039725,-0.569768,82.681613
91,0,34,83.064495,-2.632048,83.333333
91,0,35,122.909099,-1.133073,92.121212
91,0,36,14.680386,-18.332183,83.333333
91,0,37,83.064495,-2.632048,83.333333
91,0,38,122.909099,-1.133073,92.121212
91,0,39,124.039725,-0.569768,82.681613
91,0,40,83.064495,-2.632048,83.333333
91,0,41,97.677567,-2.183550,83.333333
91,0,42,89.429439,-2.336176,83.333333
91,0,43,178.377268,-0.438310,77.469463
91,0,44,89.429439,-2.336176,83.333333
91,0,45,89.429439,-2.336176,83.333333
91,0,46,75.219903,-3.015105,83.333333
91,0,47,172.041038,-0.409122,78.502550
91,0,48,170.212363,-0.401842,78.638434
91,0,49,173.102191,-0.425584,77.587219
91,0,50,75.219903,-3.015105,83.333333
91,0,51,49.190444,-3.306674,83.333333
91,0,52,50.617903,-3.184946,83.333333
91,0,53,173.102191,-0.425584,77.587219
91,0,54,124.039725,-0.569768,82.681613
91,0,55,44.809305,-4.539241,83.333333
91,0,56,13.268952,-23.404882,83.333333
91,0,57,122.909099,-1.133073,92.121212
91,0,58,172.041038,-0.409122,78.502550
91,0,59,172.041038,-0.409122,78.502550
91,0,60,122.909099,-1.133073,92.121212
91,0,61,122.909099,-1.133073,92.121212
91,0,62,122.909099,-1.133073,92.121212
91,0,63,122.909099,-1.133073,92.121212
91,0,64,122.909099,-1.133073,92.121212
91,0,65,122.909099,-1.133073,92.121212
91,0,66,122.909099,-1.133073,92.121212
91,0,67,122.909099,-1.133073,92.121212
91,0,68,122.909099,-1.133073,92.121212
91,0,69,122.909099,-1.133073,92.121212
91,0,70,122.909099,-1.133073,92.121212
91,0,71,122.909099,-1.133073,92.121212
91,0,72,122.909099,-1.133073,92.121212
91,0,73,122.909099,-1.133073,92.121212
91,0,74,122.909099,-1.133073,92.121212
91,0,75,122.909099,-1.133073,92.121212
91,0,76,122.909099,-1.133073,92.121212
91,0,77,122.909099,-1.133073,92.121212
91,0,78,122.909099,-1.133073,92.121212
91,0,79,122.909099,-1.133073,92.121212
91,0,80,122.909099,-1.133073,92.121212
91,0,81,122.909099,-1.133073,92.121212
91,0,82,122.909099,-1.133073,92.121212
91,0,83,122.909099,-1.133073,92.121212
91,0,84,122.909099,-1.133073,92.121212
91,0,85,122.909099,-1.133073,92.121212
91,0,86,122.909099,-1.133073,92.121212
91,0,87,122.909099,-1.133073,92.121212
91,0,88,122.909099,-1.133073,92.121212
91,0,89,122.909099,-1.133073,92.121212
91,0,90,122.909099,-1.133073,92.121212
91,0,91,122.909099,-1.133073,92.121212
91,0,92,122.909099,-1.133073,92.121212
91,0,93,122.909099,-1.133073,92.121212
91,0,94,122.909099,-1.133073,92.121212
91,0,95,122.909099,-1.133073,92.121212
91,0,96,122.909099,-1.133073,92.121212
