Generation,FrontIndex,IndividualIndex,ROI,Risk,WinRate
161,0,0,82.043617,-0.940860,92.121212
161,0,1,13.268952,-23.404882,83.333333
161,0,2,13.268952,-23.404882,83.333333
161,0,3,878.062331,-0.428221,69.809296
161,0,4,636.172173,-0.291928,73.438554
161,0,5,35.261202,-17.349202,83.333333
161,0,6,43.173409,-9.274477,83.333333
161,0,7,24.373985,-22.586284,83.333333
161,0,8,35.261202,-17.349202,83.333333
161,0,9,44.177554,-4.077459,83.333333
161,0,10,43.173409,-9.274477,83.333333
161,0,11,488.145947,-0.530829,72.641077
161,0,12,636.172173,-0.291928,73.438554
161,0,13,826.932225,-0.423067,70.643437
161,0,14,466.718951,-0.353531,76.528566
161,0,15,826.932225,-0.423067,70.643437
161,0,16,296.198138,-0.468969,79.731811
161,0,17,421.605321,-0.353711,73.936287
161,0,18,716.812176,-0.318403,73.004325
161,0,19,421.605321,-0.353711,73.936287
161,0,20,13.268952,-23.404882,83.333333
161,0,21,174.265367,-0.681398,85.742062
161,0,22,320.797025,-0.444062,81.515446
161,0,23,716.812176,-0.318403,73.004325
161,0,24,475.809756,-0.350447,75.962432
161,0,25,638.290254,-0.292837,73.327925
161,0,26,488.145947,-0.530829,72.641077
161,0,27,878.062331,-0.428221,69.809296
161,0,28,69.994241,-1.300735,89.898990
161,0,29,67.388475,-1.904684,88.311688
161,0,30,466.718951,-0.353531,76.528566
161,0,31,110.914054,-0.695851,87.702287
161,0,32,155.300840,-0.629980,85.774764
161,0,33,160.509699,-0.602038,86.486845
161,0,34,211.557658,-0.533341,81.648550
161,0,35,264.752996,-0.440339,82.197932
161,0,36,280.882498,-0.465895,81.919680
161,0,37,219.267102,-0.548915,81.499456
161,0,38,24.373985,-22.586284,83.333333
161,0,39,116.426240,-0.669466,88.292232
161,0,40,83.563984,-1.290067,90.909091
161,0,41,69.994241,-1.300735,89.898990
161,0,42,174.265367,-0.681398,85.742062
161,0,43,244.937471,-0.542639,73.554440
161,0,44,44.333348,-4.025312,83.333333
161,0,45,302.916088,-0.461993,80.251290
161,0,46,67.388475,-1.904684,88.311688
161,0,47,79.854981,-3.446935,83.333333
161,0,48,475.809756,-0.350447,75.962432
161,0,49,264.752996,-0.440339,82.197932
161,0,50,13.268952,-23.404882,83.333333
161,0,51,83.064495,-2.632048,83.333333
161,0,52,98.552818,-2.018159,83.333333
161,0,53,244.937471,-0.542639,73.554440
161,0,54,315.726418,-0.450752,81.026705
161,0,55,110.191649,-0.670792,87.894067
161,0,56,296.198138,-0.468969,79.731811
161,0,57,161.973064,-0.614787,86.262556
161,0,58,266.883353,-0.476272,81.138378
161,0,59,318.061684,-0.458098,80.803844
161,0,60,116.426240,-0.669466,88.292232
161,0,61,72.767204,-1.645520,88.311688
161,0,62,79.854981,-3.446935,83.333333
161,0,63,82.909251,-0.939823,92.121212
161,0,64,96.085207,-1.031917,91.109123
161,0,65,302.696036,-0.467354,80.029250
161,0,66,87.730447,-1.153556,91.608392
161,0,67,83.104921,-1.186143,91.287879
161,0,68,86.841996,-1.155336,91.608392
161,0,69,165.185858,-0.603958,86.321440
161,0,70,89.429439,-2.336176,83.333333
161,0,71,83.936709,-1.001155,91.883117
161,0,72,72.767204,-1.645520,88.311688
161,0,73,69.915636,-3.774361,83.333333
161,0,74,89.429439,-2.336176,83.333333
161,0,75,83.563984,-1.290067,90.909091
161,0,76,69.915636,-3.774361,83.333333
161,0,77,318.061684,-0.458098,80.803844
161,0,78,273.178278,-0.504029,73.469609
161,0,79,96.085207,-1.031917,91.109123
161,0,80,83.066213,-1.002075,91.883117
161,0,81,273.178278,-0.504029,73.469609
161,0,82,302.916088,-0.461993,80.251290
161,0,83,302.696036,-0.467354,80.029250
161,0,84,110.914054,-0.695851,87.702287
161,0,85,110.191649,-0.670792,87.894067
161,0,86,216.164336,-0.546520,81.519726
161,0,87,216.911663,-0.562240,81.099427
161,0,88,638.290254,-0.292837,73.327925
161,0,89,85.634299,-2.482894,83.333333
161,0,90,158.993369,-0.616099,85.767162
161,0,91,83.104921,-1.186143,91.287879
161,0,92,85.634299,-2.482894,83.333333
161,0,93,213.831789,-0.559673,81.120500
161,0,94,160.509699,-0.602038,86.486845
161,0,95,165.185858,-0.603958,86.321440
161,0,96,83.064495,-2.632048,83.333333
161,0,97,211.557658,-0.533341,81.648550
161,0,98,155.300840,-0.629980,85.774764
161,0,99,320.797025,-0.444062,81.515446
161,0,100,160.509699,-0.602038,86.486845
161,0,101,69.994241,-1.300735,89.898990
161,0,102,83.975601,-1.184848,91.287879
161,0,103,211.557658,-0.533341,81.648550
161,0,104,82.043617,-0.940860,92.121212
161,0,105,82.909251,-0.939823,92.121212
161,0,106,318.061684,-0.458098,80.803844
161,0,107,83.975601,-1.184848,91.287879
161,0,108,69.994241,-1.300735,89.898990
161,0,109,878.062331,-0.428221,69.809296
161,0,110,466.718951,-0.353531,76.528566
161,0,111,636.172173,-0.291928,73.438554
161,0,112,296.198138,-0.468969,79.731811
161,0,113,82.043617,-0.940860,92.121212
161,0,114,13.268952,-23.404882,83.333333
161,0,115,302.916088,-0.461993,80.251290
161,0,116,72.767204,-1.645520,88.311688
161,0,117,110.914054,-0.695851,87.702287
161,0,118,24.373985,-22.586284,83.333333
161,0,119,35.261202,-17.349202,83.333333
161,0,120,43.173409,-9.274477,83.333333
161,0,121,43.173409,-9.274477,83.333333
161,0,122,89.429439,-2.336176,83.333333
161,0,123,13.268952,-23.404882,83.333333
161,0,124,13.268952,-23.404882,83.333333
161,0,125,13.268952,-23.404882,83.333333
161,0,126,13.268952,-23.404882,83.333333
161,0,127,13.268952,-23.404882,83.333333
161,0,128,13.268952,-23.404882,83.333333
161,0,129,13.268952,-23.404882,83.333333
161,1,0,633.526678,-0.309154,72.356511
161,1,1,419.950882,-0.506902,71.781881
161,1,2,159.883500,-0.632092,85.615937
161,1,3,75.219903,-3.015105,83.333333
161,1,4,25.336075,-10.968457,83.333333
161,1,5,84.755769,-2.466799,83.333333
161,1,6,869.121960,-0.426832,69.786288
161,1,7,869.121960,-0.426832,69.786288
161,1,8,264.806150,-0.430586,77.763582
161,1,9,248.900625,-0.422231,79.589416
161,1,10,72.425156,-1.624460,88.311688
161,1,11,75.245698,-0.797917,91.419895
161,1,12,67.758602,-0.852421,88.577931
161,1,13,285.227061,-0.288011,73.498553
161,1,14,32.667704,-7.661124,83.333333
161,1,15,32.667704,-7.661124,83.333333
161,1,16,552.434916,-0.271168,72.590419
161,2,0,120.217091,-0.607003,83.666919
161,2,1,813.056123,-0.420105,69.374240
161,2,2,34.470357,-1.176528,87.432728
161,2,3,50.961111,-0.891509,85.099938
161,2,4,70.957614,-0.541319,84.510431
161,2,5,66.889032,-0.582666,84.505746
161,2,6,63.067084,-0.844088,87.855203
161,2,7,16.628674,-6.157338,83.333333
161,2,8,292.963363,-0.266218,71.567649
161,2,9,452.693129,-0.250483,69.618971
161,2,10,546.890524,-0.204556,69.683808
161,3,0,102.551114,-0.341021,73.762701
161,3,1,707.706365,-0.396324,69.221372
161,3,2,63.758610,-0.554877,82.312634
161,3,3,63.758610,-0.554877,82.312634
161,3,4,56.617872,-0.566148,73.801835
161,3,5,231.763575,-0.225480,70.109298
161,3,6,236.597469,-0.223710,70.595576
161,4,0,512.965226,-0.342735,66.658599
161,4,1,456.655729,-0.349823,66.521478
161,4,2,49.750976,-0.317941,74.252631
161,4,3,44.568409,-0.374041,69.023375
161,4,4,207.949734,-0.196198,69.283697
161,4,5,163.917230,-0.164621,69.336385
161,4,6,61.642896,-0.190341,70.199686
161,5,0,357.041034,-0.275019,65.915918
161,5,1,250.916290,-0.177737,66.419346
161,5,2,445.280493,-0.332878,65.114028
161,5,3,8.637770,-0.162065,71.004480
161,5,4,43.732316,-0.347478,65.273036
161,5,5,89.549621,-0.122846,67.099733
161,5,6,56.747352,-0.149369,68.263081
161,5,7,52.760985,-0.167764,69.060302
161,6,0,204.781582,-0.283564,62.032990
161,6,1,105.444043,-0.305700,62.942561
161,6,2,365.448429,-0.262595,63.076201
161,6,3,4.007187,-0.191881,63.106064
161,6,4,54.464308,-0.131949,64.062667
161,6,5,50.190212,-0.159212,66.278212
161,6,6,27.056323,-0.104120,68.272707
161,7,0,205.456013,-0.208640,61.691184
161,7,1,103.391162,-0.105239,61.851055
161,7,2,311.003401,-0.246326,61.295790
161,7,3,13.853284,-0.070830,62.285191
161,8,0,310.549750,-0.228475,60.295563
161,8,1,288.773028,-0.238032,60.655576
161,9,0,40.191015,-0.222951,60.107058
161,9,1,28.333162,-0.220321,60.467602
161,9,2,143.874375,-0.192011,58.604472
161,10,0,33.054760,-0.202437,59.604809
161,10,1,13.568157,-0.146884,59.742791
161,11,0,3.622902,-0.081215,59.278161
161,12,0,-15.651657,0.046990,52.329499
