Generation,FrontIndex,IndividualIndex,ROI,Risk,WinRate
0,0,0,297.686975,-0.102892,43.442154
0,0,1,45.759718,-0.251211,64.556550
0,1,0,8.149088,-0.115364,54.878892
0,1,1,33.473554,-0.067582,58.541012
0,1,2,-13.472785,-0.029388,59.823765
0,1,3,-63.450217,0.050549,61.543748
0,2,0,6.037762,-0.060512,50.493417
0,2,1,17.193042,-0.041878,57.882838
0,2,2,-40.615580,-0.005277,58.481485
0,2,3,-35.516649,0.005580,58.550381
0,2,4,-40.288495,0.020808,58.579801
0,3,0,1.861335,-0.040086,49.758876
0,3,1,-26.523849,-0.027445,52.818944
0,3,2,-20.773250,-0.021933,54.335641
0,3,3,-21.789771,-0.019021,57.499717
0,3,4,-43.762358,0.000097,57.883158
0,3,5,-49.884981,0.028996,57.968028
0,4,0,-24.611587,-0.009799,40.899734
0,4,1,-41.987532,-0.016347,50.239841
0,4,2,-45.909401,0.008963,53.267797
0,4,3,-57.456907,0.007677,53.484325
0,4,4,-61.757550,0.016375,53.877135
0,4,5,-80.486347,0.125945,56.822164
0,5,0,-47.005594,0.015513,39.141068
0,5,1,-50.734930,0.012493,40.645059
0,5,2,-43.684335,0.020118,44.512028
0,5,3,-64.119836,0.013296,48.155671
0,5,4,-53.102679,0.014859,51.520684
0,6,0,-57.968411,0.025174,50.500947
0,6,1,-79.755288,0.071916,50.852634
0,7,0,-60.140171,0.046805,39.785500
0,7,1,-64.536147,0.041259,41.439334
0,7,2,-70.534773,0.064660,44.990577
0,7,3,-74.963454,0.057525,45.279446
0,7,4,-75.777230,0.045645,46.275081
0,7,5,-69.782040,0.065001,47.415214
0,7,6,-75.098661,0.080562,49.808536
0,7,7,-88.831761,0.100645,50.357809
0,8,0,-69.363246,0.122888,36.678326
0,8,1,-70.309602,0.041488,38.996843
0,8,2,-74.090645,0.096776,42.480033
0,8,3,-88.510105,0.092751,43.285400
0,8,4,-89.540071,0.114108,49.085662
0,9,0,-83.907157,0.072480,33.471194
0,9,1,-87.772095,0.097067,37.396240
0,9,2,-89.213653,0.111988,37.468742
0,9,3,-84.917508,0.130725,42.013296
0,10,0,-86.336011,0.081113,30.319012
0,10,1,-87.852982,0.119598,36.332472
0,11,0,-91.484567,0.125671,34.055335
