Generation,IndividualID,FrontRank,ShortMA,LongMA,BuyThresh,SellThresh,StopLoss,TakeProfit,ROI,Risk,WinRate,CrowdingDistance
201,0,0,28,44,4.874513,7.608137,10.000000,6.304731,906.048763,-0.383245,71.689585,inf
201,1,0,23,30,6.659256,4.854649,4.007667,0.947404,114.231507,-1.031161,92.822967,inf
201,2,0,29,41,4.440490,9.862656,6.328807,0.810689,969.141448,-0.359361,77.125534,inf
201,3,0,25,30,6.899370,8.071297,7.966563,5.847003,20.472535,-28.271344,83.333333,inf
201,4,0,25,30,6.900262,8.053119,7.966411,5.846265,20.472535,-28.271344,83.333333,inf
201,5,0,29,41,6.115478,5.876949,9.870855,0.100000,217.979836,-0.323813,82.905516,inf
201,6,0,24,30,8.444741,3.886418,9.644716,6.141821,22.164812,-16.728759,83.333333,0.687333
201,7,0,30,40,4.880816,8.472879,8.887590,5.915281,385.572273,-0.618142,80.600960,0.570083
201,8,0,25,30,6.942829,7.220288,7.065559,6.007693,20.661263,-28.217172,83.333333,0.411270
201,9,0,25,30,6.314172,3.054095,9.455433,5.006114,28.430226,-9.236772,83.333333,0.296452
201,10,0,25,30,6.283211,3.444820,9.359992,5.209796,28.430226,-9.236772,83.333333,0.274678
201,11,0,29,41,4.442873,9.701339,6.327755,0.815780,969.141448,-0.359361,77.125534,0.258356
201,12,0,27,35,5.926355,6.786888,8.584983,1.206620,130.558525,-0.661761,87.638117,0.203696
201,13,0,30,40,4.903500,8.349241,9.180363,6.304801,371.874383,-0.619272,80.148630,0.159008
201,14,0,23,30,6.770374,8.008798,5.074698,7.104650,127.978715,-1.576541,89.898990,0.115574
201,15,0,25,30,6.440562,4.113679,6.827550,7.840305,41.075999,-4.413576,83.333333,0.093155
201,16,0,24,30,6.490649,3.378617,9.480493,6.037523,33.091059,-6.781783,83.333333,0.092756
201,17,0,30,40,4.898172,8.347128,9.000771,6.290081,371.874383,-0.619272,80.148630,0.091439
201,18,0,29,41,6.121592,2.738693,9.636588,1.707782,298.929235,-0.415479,80.730811,0.090050
201,19,0,29,41,6.117504,5.751491,9.993927,0.127509,217.979836,-0.323813,82.905516,0.087451
