ShortMA,LongMA,BuyThresh,SellThresh,StopLoss,TakeProfit,ROI,Risk,WinRate,Strength,RawFitness,Density,SPEA2Fitness
28,54,6.44874,4.23901,7.95009,2.15153,616.871,-0.271329,70.1971,23,0,0.5,0.5
23,30,6.73686,8.1857,4.64614,2.81254,98.5434,-1.26698,91.8831,43,0,0.5,0.5
23,30,6.76873,8.2793,4.46351,2.01499,113.343,-1.22669,92.3295,47,0,0.5,0.5
28,60,8.12949,4.70598,7.62075,8.0523,879.416,-0.393319,68.1428,26,0,0.5,0.5
28,54,6.43332,4.05163,7.24449,2.12214,770.516,-0.285692,70.0062,24,0,0.5,0.5
23,30,6.66252,8.17797,4.40421,1.11617,115.435,-1.08609,92.6768,43,0,0.5,0.5
28,61,8.13967,5.20836,10,7.13261,549.162,-0.335204,69.5738,32,0,0.5,0.5
23,30,6.66581,8.17448,4.66801,1.57771,112.297,-1.15865,92.5134,45,0,0.5,0.5
23,30,6.66062,8.27362,4.46079,0.73927,114.232,-1.03116,92.823,43,0,0.5,0.5
25,30,6.03338,9.06262,4.34797,2.52045,36.8709,-2.47492,83.3333,25,0,0.5,0.5
23,30,6.61829,8.25783,4.45946,0.72726,117.683,-1.06439,92.6768,43,0,0.5,0.5
23,30,6.62843,8.22326,4.54398,1.51135,115.717,-1.2099,92.3295,45,0,0.5,0.5
23,30,6.61887,8.18706,4.4042,1.10842,118.905,-1.12842,92.5134,44,0,0.5,0.5
25,30,5.93277,9.19316,4.50703,3.29358,31.1334,-3.85241,83.3333,25,0,0.5,0.5
25,30,6.19702,8.81086,3.67453,4.30682,28.4302,-9.23677,83.3333,22,0,0.5,0.5
25,30,5.9186,8.8795,4.44121,1.67618,42.8655,-1.81018,83.3333,29,0,0.5,0.5
23,70,9.95548,5.04617,8.22745,0.852588,304.126,-0.185254,70.6236,14,0,0.492435,0.492435
25,30,5.88956,9.16276,4.48765,3.29279,31.1334,-3.85241,83.3333,25,0,0.5,0.5
25,30,6.20401,8.79446,3.63963,4.26734,28.4302,-9.23677,83.3333,22,0,0.5,0.5
25,30,5.91755,8.85626,4.43821,1.67143,42.8655,-1.81018,83.3333,29,0,0.5,0.5
27,60,8.15137,5.76527,7.58004,8.02115,1013.09,-0.389168,67.5679,28,0,0.5,0.5
27,60,8.15137,5.76389,7.63097,8.01292,1013.09,-0.389168,67.5679,28,0,0.5,0.5
25,30,5.89353,9.07879,4.35094,1.09788,44.977,-1.40368,83.3333,26,0,0.5,0.5
25,30,5.91647,8.15857,4.48168,1.67275,42.8655,-1.81018,83.3333,29,0,0.5,0.5
25,30,5.92064,8.87622,4.5721,1.67277,42.8655,-1.81018,83.3333,29,0,0.5,0.5
25,30,5.90812,9.21686,4.02923,3.30593,31.1334,-3.85241,83.3333,25,0,0.5,0.5
25,30,5.93515,9.20347,4.5066,3.28027,31.1334,-3.85241,83.3333,25,0,0.5,0.5
25,30,5.91721,8.8778,4.43607,1.67073,42.8655,-1.81018,83.3333,29,0,0.5,0.5
25,30,6.20321,9.08081,3.63482,4.27918,28.4302,-9.23677,83.3333,22,0,0.5,0.5
25,30,5.91693,8.88324,4.4394,1.66823,42.8655,-1.81018,83.3333,29,0,0.5,0.5
25,30,5.88319,9.09223,4.40003,1.09644,44.977,-1.40368,83.3333,26,0,0.5,0.5
25,30,5.83048,9.09544,3.93183,1.08594,44.977,-1.40368,83.3333,26,0,0.5,0.5
25,30,5.88557,9.36605,4.35159,1.08935,44.977,-1.40368,83.3333,26,0,0.5,0.5
28,54,6.43094,3.96898,6.32375,2.168,1021.08,-0.301823,69.5514,25,0,0.5,0.5
25,30,5.88438,9.08558,4.34466,1.1143,44.977,-1.40368,83.3333,26,0,0.5,0.5
25,30,5.91642,8.88468,4.44096,1.68173,42.8655,-1.81018,83.3333,29,0,0.5,0.5
25,30,5.90521,8.88116,4.43995,1.67951,42.8655,-1.81018,83.3333,29,0,0.5,0.5
25,30,5.893,9.06278,4.35131,1.10692,44.977,-1.40368,83.3333,26,0,0.5,0.5
25,30,5.88133,9.16334,4.48812,3.28834,31.1334,-3.85241,83.3333,25,0,0.5,0.5
25,30,5.93175,9.21002,4.50526,3.23154,35.6928,-3.27557,83.3333,27,0,0.5,0.5
25,30,5.93226,9.19197,4.50675,3.28068,31.1334,-3.85241,83.3333,25,0,0.5,0.5
23,32,6.14906,8.67051,4.56081,0.880801,136.204,-0.402722,77.6887,23,0,0.5,0.5
25,30,6.21239,9.0964,4.5416,4.3124,28.4302,-9.23677,83.3333,22,0,0.5,0.5
25,30,5.89476,9.0626,4.35204,1.12046,44.977,-1.40368,83.3333,26,0,0.5,0.5
25,30,5.89313,9.06346,4.35141,1.0886,44.977,-1.40368,83.3333,26,0,0.5,0.5
25,30,5.91647,8.88928,4.44045,1.67275,42.8655,-1.81018,83.3333,29,0,0.5,0.5
28,54,6.43028,3.94971,6.34126,2.15904,1021.08,-0.301823,69.5514,25,0,0.5,0.5
24,30,9.01738,8.46244,4.47213,1.86394,13.269,-23.4049,83.3333,7,0,0.5,0.5
25,30,5.8828,9.09397,4.35229,1.09282,44.977,-1.40368,83.3333,26,0,0.5,0.5
25,30,5.91705,8.87604,4.43992,1.67209,42.8655,-1.81018,83.3333,29,0,0.5,0.5
