ParameterSet,ROI_Mean,ROI_Median,ROI_Std,ROI_Min,ROI_Max,Risk_Mean,Risk_Median,Risk_Std,Risk_Min,Risk_Max,WinRate_Mean,WinRate_Median,WinRate_Std,WinRate_Min,WinRate_Max,Hypervolume_Mean,Hypervolume_Median,Hypervolume_Std,Hypervolume_Min,Hypervolume_Max,ROI_ANOVA_p,Risk_ANOVA_p,WinRate_ANOVA_p,Hypervolume_ANOVA_p
1,802.41576675,866.335219,222.490412023774,189.141833,1135.37909,-0.31583985,-0.3123515,0.0596407452133849,-0.42945,-0.15696,69.5810865,70.0593405,4.4523451923238,55.438321,76.324784,0.39375969699675,0.236435361497985,0.339157997274094,0.0211978058082673,0.961995627047589,0.00513847172121106,0.0458952301566673,0.520859448118572,0.733139652349132
2,955.82740835,943.2177295,214.385302059385,560.688143,1598.205232,-0.34282285,-0.344753,0.0699917175553275,-0.42945,-0.153052,69.88270865,69.3599705,5.02380809685193,55.500388,78.092808,0.347649489618308,0.350013101091711,0.102775309242133,0.109914611339286,0.49952666078235,0.00513847172121106,0.0458952301566673,0.520859448118572,0.733139652349132
3,946.3656443,950.089025,183.575126149808,505.895628,1251.599331,-0.36964715,-0.358016,0.0469679414116693,-0.466371,-0.294376,69.86816265,69.593633,3.58636973229431,64.112641,75.607741,0.337127812586614,0.337736266664965,0.10576052023774,0.122007262682859,0.507012354078468,0.00513847172121106,0.0458952301566673,0.520859448118572,0.733139652349132
4,1010.96273885,983.1511215,164.501714470726,669.484275,1419.580837,-0.3650984,-0.382698,0.0623404895379526,-0.446505,-0.157193,70.50177965,69.282013,3.2662247683654,65.698103,77.887044,0.326502555719789,0.293821652079785,0.0866519305882742,0.230857620418934,0.49538906469469,0.00513847172121106,0.0458952301566673,0.520859448118572,0.733139652349132
5,997.2867719,1001.625696,132.131310426374,723.174114,1164.912664,-0.36111055,-0.3651295,0.0691589932710166,-0.464652,-0.140746,71.6708738,72.094813,4.19344422182231,60.738062,77.125534,0.328799484776386,0.350656185006696,0.079998796061437,0.160568544837009,0.463190398023131,0.00513847172121106,0.0458952301566673,0.520859448118572,0.733139652349132
