Generation,IndividualID,FrontRank,ShortMA,LongMA,BuyThresh,SellThresh,StopLoss,TakeProfit,ROI,Risk,WinRate,CrowdingDistance
91,0,0,22,31,8.693899,8.074356,7.721867,0.858691,98.708123,-0.879052,92.513369,inf
91,1,0,25,32,9.105049,7.020629,9.965464,5.562589,28.075157,-31.835982,83.333333,inf
91,2,0,25,32,9.076371,6.967402,9.624245,5.475741,28.075157,-31.835982,83.333333,inf
91,3,0,30,39,2.819131,4.338640,6.874341,6.053644,811.014231,-0.331611,67.119734,inf
91,4,0,19,34,8.304023,6.132153,8.361823,0.911638,174.277450,-0.281494,74.387564,inf
91,5,0,23,31,8.729117,6.727225,8.533516,6.440993,36.742479,-11.028773,83.333333,0.670476
91,6,0,25,32,9.140207,6.872547,10.000000,5.678855,28.075157,-31.835982,83.333333,0.659406
91,7,0,19,34,8.309259,6.132532,8.361296,0.884608,174.277450,-0.281494,74.387564,0.562229
91,8,0,30,39,3.659853,4.809534,6.919636,5.790866,514.215031,-0.369494,69.392453,0.358355
91,9,0,30,35,2.382113,2.803350,8.039889,6.283323,451.806743,-0.463701,72.517401,0.354471
91,10,0,30,40,3.632137,4.740662,6.797026,6.019667,776.618414,-0.378594,68.810561,0.335152
91,11,0,19,31,8.360174,6.095085,8.394474,0.835041,169.268117,-0.393802,79.626753,0.207811
91,12,0,19,31,8.317730,6.093734,8.419613,0.860568,169.268117,-0.393802,79.626753,0.185209
91,13,0,25,37,9.245826,8.829806,8.818916,1.707926,138.919428,-0.751385,87.215935,0.184052
91,14,0,22,30,7.573362,7.287841,9.648514,3.182259,111.295293,-1.077100,91.484311,0.176452
91,15,0,25,37,9.245393,8.831593,8.764911,1.742681,138.919428,-0.751385,87.215935,0.168088
91,16,0,22,30,9.473612,7.819379,9.422768,3.296950,44.809305,-4.539241,83.333333,0.152897
91,17,0,22,30,9.670135,9.631463,10.000000,3.797812,39.483659,-7.707739,83.333333,0.108749
91,18,0,23,31,8.691479,7.370173,8.406810,6.663716,36.742479,-11.028773,83.333333,0.108749
91,19,0,30,39,3.659853,4.809534,6.919636,5.790866,514.215031,-0.369494,69.392453,0.100279
91,20,0,30,36,2.828336,3.957867,6.489205,6.679969,460.810497,-0.468798,71.755334,0.093050
91,21,0,23,31,8.690647,8.229679,8.542200,6.175095,44.741334,-7.259277,83.333333,0.092917
91,22,0,22,30,9.472321,7.799990,9.447116,3.265189,44.809305,-4.539241,83.333333,0.086288
91,23,0,30,40,3.626366,4.897588,6.802454,6.019417,776.618414,-0.378594,68.810561,0.079747
91,24,0,30,39,2.822421,4.216070,6.893387,5.594494,791.096401,-0.326900,67.267318,0.079414
91,25,0,22,30,7.560558,7.478023,9.631759,3.220491,121.538357,-2.351262,83.333333,0.077689
91,26,0,30,36,2.810365,4.491979,8.049763,5.307646,483.180042,-0.440897,72.972898,0.074563
91,27,0,22,30,7.573362,7.287841,9.648514,3.182259,111.295293,-1.077100,91.484311,0.047470
91,28,0,22,30,9.466561,9.712334,9.769412,3.217990,56.368667,-3.000551,83.333333,0.039941
91,29,0,22,30,9.474089,7.800071,9.413171,3.219445,49.844160,-3.514263,83.333333,0.038914
91,30,0,22,30,9.469864,7.196864,9.649510,3.421451,44.809305,-4.539241,83.333333,0.038914
91,31,0,25,37,9.203114,8.826949,8.828882,1.684300,138.919428,-0.751385,87.215935,0.038763
91,32,0,30,35,2.381387,2.652906,6.892680,6.286079,461.214983,-0.467215,71.763496,0.037446
91,33,0,21,30,9.845473,7.238162,9.736398,3.367961,83.064495,-2.632048,83.333333,0.037394
91,34,0,30,39,2.824161,4.185550,6.900748,5.592521,791.096401,-0.326900,67.267318,0.032691
91,35,0,30,39,2.803049,4.454646,6.875765,6.046973,811.014231,-0.331611,67.119734,0.032452
91,36,0,30,35,2.347771,2.946351,8.036954,6.282812,479.634241,-0.461672,72.859798,0.028044
91,37,0,30,40,3.626366,4.897588,6.802454,6.019417,776.618414,-0.378594,68.810561,0.023203
91,38,0,22,31,8.701861,6.981631,7.374508,2.158098,96.914116,-0.975131,91.903369,0.022518
91,39,0,30,35,2.382113,2.803350,8.039889,6.283323,451.806743,-0.463701,72.517401,0.021123
91,40,0,22,30,9.670135,9.631463,10.000000,3.403691,39.483659,-7.707739,83.333333,0.020928
91,41,0,30,35,2.348148,2.957911,6.722341,6.291532,489.516936,-0.464902,72.114530,0.020272
91,42,0,30,36,2.806873,3.419840,8.003416,6.256237,491.755131,-0.450215,72.422805,0.020255
91,43,0,30,36,2.826725,3.979738,6.920711,6.217721,509.495405,-0.454122,72.092553,0.019226
91,44,0,22,30,9.466561,9.712334,9.725398,3.217990,56.368667,-3.000551,83.333333,0.019023
91,45,0,30,36,2.821089,3.627169,7.968076,6.219262,498.100697,-0.449891,72.760795,0.018738
91,46,0,30,36,2.820695,3.646792,7.973772,6.207920,498.100697,-0.449891,72.760795,0.017700
91,47,0,21,30,9.778727,7.238162,9.957450,3.367961,83.064495,-2.632048,83.333333,0.017689
91,48,0,22,30,7.572916,7.299640,9.259496,2.679595,105.720562,-1.021108,91.590828,0.017323
91,49,0,30,36,2.826725,3.979738,6.920711,6.217721,509.495405,-0.454122,72.092553,0.015543
91,50,0,22,30,7.568643,7.614529,9.630146,3.627925,114.094533,-2.528022,83.333333,0.015109
91,51,0,23,31,8.776798,8.207128,8.545243,6.254263,44.741334,-7.259277,83.333333,0.014212
91,52,0,22,30,9.680887,8.825317,10.000000,2.582735,50.617903,-3.184946,83.333333,0.013189
91,53,0,21,30,9.856685,7.125996,9.718143,3.715312,83.064495,-2.632048,83.333333,0.011678
91,54,0,30,36,2.828339,3.957587,6.490145,6.678756,460.810497,-0.468798,71.755334,0.011550
91,55,0,22,30,9.474089,7.800071,9.413171,3.219445,49.844160,-3.514263,83.333333,0.011425
91,56,0,22,30,9.697421,10.000000,10.000000,3.096191,50.617903,-3.184946,83.333333,0.011425
91,57,0,25,32,9.152716,6.873663,10.000000,5.678096,28.075157,-31.835982,83.333333,0.011070
91,58,0,22,31,8.694744,8.010398,7.207553,2.053119,96.914116,-0.975131,91.903369,0.010676
91,59,0,22,31,8.685252,8.342908,8.839470,1.132693,101.785360,-0.924038,91.984871,0.009748
91,60,0,22,31,8.673282,8.071237,7.211669,1.139481,99.824329,-0.923631,92.196183,0.009534
91,61,0,30,36,2.828339,3.957587,6.571161,6.678756,460.810497,-0.468798,71.755334,0.009472
91,62,0,22,31,8.673282,8.071237,7.211669,1.139481,99.824329,-0.923631,92.196183,0.009399
91,63,0,30,35,2.347771,2.946351,8.036954,6.282812,479.634241,-0.461672,72.859798,0.008667
91,64,0,22,31,8.678376,6.943897,8.674371,2.190465,98.846587,-0.975185,91.690485,0.008562
91,65,0,22,31,8.689419,6.952486,8.587203,3.140391,102.892387,-1.037858,91.573572,0.008371
91,66,0,22,31,8.702896,7.710534,7.998855,0.784989,100.658200,-0.879644,92.371183,0.006910
91,67,0,30,36,2.806873,3.419840,8.040487,6.256237,491.755131,-0.450215,72.422805,0.006708
91,68,0,22,31,8.687307,7.727138,7.959714,0.829367,100.658200,-0.879644,92.371183,0.006664
91,69,0,22,31,8.664992,8.271192,8.400579,1.651405,98.846587,-0.975185,91.690485,0.006629
91,70,0,19,31,8.321050,6.085792,8.426476,0.864500,169.268117,-0.393802,79.626753,0.006398
91,71,0,22,31,8.708892,8.071300,6.575567,0.795386,98.708123,-0.879052,92.513369,0.005618
91,72,0,22,31,8.676778,8.297730,8.857049,1.217588,101.785360,-0.924038,91.984871,0.004829
91,73,0,25,37,9.245826,8.829806,8.818916,1.707926,138.919428,-0.751385,87.215935,0.004046
91,74,0,22,31,8.680830,8.010383,7.551773,0.927745,98.708123,-0.879052,92.513369,0.004046
91,75,0,30,35,2.347771,2.946351,6.712458,6.282812,489.516936,-0.464902,72.114530,0.003797
91,76,0,30,35,2.374210,3.342779,8.015146,6.274542,451.806743,-0.463701,72.517401,0.003789
91,77,0,22,30,7.566238,7.696422,9.663616,3.582835,114.094533,-2.528022,83.333333,0.003575
91,78,0,22,30,7.555989,7.616984,9.630124,3.607603,114.094533,-2.528022,83.333333,0.003297
91,79,0,22,31,8.687307,7.727138,7.959714,0.829367,100.658200,-0.879644,92.371183,0.002834
91,80,0,22,31,8.672581,6.944875,8.637947,3.139098,102.892387,-1.037858,91.573572,0.002624
91,81,0,22,31,8.681110,8.344338,8.839750,1.127797,101.785360,-0.924038,91.984871,0.001440
91,82,0,30,36,2.828339,3.957587,6.490145,6.678756,460.810497,-0.468798,71.755334,0.000321
91,83,0,22,31,8.700760,7.996794,7.034973,0.844057,98.708123,-0.879052,92.513369,0.000177
91,84,0,23,31,8.776798,8.207128,8.545243,6.254263,44.741334,-7.259277,83.333333,0.000087
91,85,0,22,31,8.698786,10.000000,7.762593,0.725461,98.708123,-0.879052,92.513369,0.000000
91,86,0,30,39,2.819131,4.338640,6.874341,6.053644,811.014231,-0.331611,67.119734,0.000000
91,87,0,22,31,8.700948,8.067351,7.034980,0.843635,98.708123,-0.879052,92.513369,0.000000
91,88,0,22,31,8.665747,7.975504,7.576343,0.971246,98.708123,-0.879052,92.513369,0.000000
91,89,0,22,31,8.710579,8.109359,6.603968,0.742458,98.708123,-0.879052,92.513369,0.000000
91,90,0,22,31,8.700949,8.646017,7.722369,0.918655,98.708123,-0.879052,92.513369,0.000000
91,91,0,22,31,8.710438,8.322965,7.702572,0.786450,98.708123,-0.879052,92.513369,0.000000
91,92,0,22,31,8.710027,7.941404,7.796434,0.739616,98.708123,-0.879052,92.513369,0.000000
91,93,0,22,31,8.708080,8.463252,6.788402,0.918589,98.708123,-0.879052,92.513369,0.000000
91,94,0,22,31,8.665700,7.972266,7.574863,0.909650,98.708123,-0.879052,92.513369,0.000000
91,95,0,22,31,8.665700,8.007144,7.436945,0.909650,98.708123,-0.879052,92.513369,0.000000
91,96,0,22,31,8.697310,8.070752,6.942331,0.899165,98.708123,-0.879052,92.513369,0.000000
91,97,0,22,31,8.708892,8.071300,6.575567,0.795386,98.708123,-0.879052,92.513369,0.000000
91,98,0,22,31,8.710579,8.109359,6.603968,0.742458,98.708123,-0.879052,92.513369,0.000000
91,99,0,22,31,8.710438,8.322965,7.702572,0.786450,98.708123,-0.879052,92.513369,0.000000
