Generation,IndividualID,FrontRank,ShortMA,LongMA,BuyThresh,SellThresh,StopLoss,TakeProfit,ROI,Risk,WinRate,CrowdingDistance
71,0,0,29,60,7.410850,9.387086,6.929605,6.918371,770.503507,-0.342025,65.621054,inf
71,1,0,24,31,9.562266,5.883017,7.458034,5.770921,20.472535,-28.271344,83.333333,inf
71,2,0,24,31,9.573939,6.005530,7.337210,5.803580,20.472535,-28.271344,83.333333,inf
71,3,0,23,30,6.667250,5.381130,4.306463,0.809356,114.231507,-1.031161,92.822967,inf
71,4,0,29,60,7.314750,8.149697,6.954288,5.207774,816.358698,-0.329547,67.075108,inf
71,5,0,29,60,7.315694,9.397101,6.965242,6.564492,818.252568,-0.338968,66.291855,inf
71,6,0,22,30,4.950248,6.472505,5.511181,0.953000,239.619059,-0.445940,80.259804,0.678853
71,7,0,29,60,7.312956,9.506633,6.942494,5.187182,816.358698,-0.329547,67.075108,0.501716
71,8,0,22,30,4.940263,6.491126,5.546024,0.911872,239.619059,-0.445940,80.259804,0.484697
71,9,0,24,30,8.195974,4.549414,7.455922,5.293210,30.117292,-17.088960,83.333333,0.429284
71,10,0,26,30,5.449038,5.744458,7.204510,5.263536,31.532315,-5.425186,83.333333,0.419205
71,11,0,24,31,9.606709,6.006815,7.299454,5.836601,20.661263,-28.217172,83.333333,0.410117
71,12,0,24,30,8.178159,4.524361,7.454274,5.307253,30.117292,-17.088960,83.333333,0.398264
71,13,0,23,30,6.691279,4.107190,4.636419,3.506559,72.881560,-1.432815,91.287879,0.391941
71,14,0,24,31,8.763251,4.303152,5.413087,3.575794,31.727832,-4.107485,83.333333,0.349852
71,15,0,27,40,7.065479,9.376316,8.607407,2.505657,196.540662,-0.547132,80.523165,0.120631
71,16,0,27,40,7.060241,9.939858,8.605936,2.493954,196.540662,-0.547132,80.523165,0.110617
71,17,0,26,30,5.317374,5.559672,7.333916,3.179757,42.128417,-3.136345,83.333333,0.099515
71,18,0,23,30,6.648182,6.549647,4.389222,1.216507,118.905428,-1.128421,92.513369,0.098396
71,19,0,22,30,4.998093,6.478734,5.506342,0.956367,239.619059,-0.445940,80.259804,0.057619
71,20,0,29,60,7.312858,9.138295,6.975591,5.711113,802.843710,-0.331733,66.641337,0.055029
71,21,0,27,40,7.067860,9.979044,8.616718,2.410497,196.540662,-0.547132,80.523165,0.053998
71,22,0,26,30,5.359862,5.751471,7.207366,5.258423,31.532315,-5.425186,83.333333,0.047404
71,23,0,29,60,7.417245,9.832666,6.968043,6.648584,771.871156,-0.339860,65.837846,0.046825
71,24,0,23,30,6.707236,5.374510,4.351741,3.216287,77.735989,-1.399954,91.608392,0.040940
71,25,0,26,30,5.315967,5.879918,7.374719,3.768422,42.128417,-3.136345,83.333333,0.030460
71,26,0,24,31,8.553498,4.515510,5.897898,5.992084,39.918487,-3.910064,83.333333,0.030460
71,27,0,29,60,7.314737,9.071158,6.984022,5.687970,802.843710,-0.331733,66.641337,0.029867
71,28,0,23,30,6.722146,5.355059,4.362924,3.187330,98.543371,-1.266977,91.883117,0.026082
71,29,0,23,30,6.707229,5.374124,4.351362,3.214688,77.735989,-1.399954,91.608392,0.019044
71,30,0,29,60,7.418571,9.581297,7.150494,6.686384,771.871156,-0.339860,65.837846,0.018482
71,31,0,24,31,8.588352,4.482932,5.905279,5.982885,39.918487,-3.910064,83.333333,0.017332
71,32,0,23,30,6.678511,6.510152,4.370723,0.963625,114.231507,-1.031161,92.822967,0.017323
71,33,0,29,60,7.313159,9.447111,6.931962,6.520486,818.252568,-0.338968,66.291855,0.015254
71,34,0,23,30,6.691037,4.130732,4.531274,3.479190,72.881560,-1.432815,91.287879,0.012959
71,35,0,23,30,6.680649,5.369983,4.428142,1.428319,112.297349,-1.158648,92.513369,0.012161
71,36,0,23,30,6.745552,5.357459,4.334115,2.433442,102.595537,-1.237806,92.121212,0.012161
71,37,0,23,30,6.632798,5.358128,4.299979,1.484634,115.717320,-1.209903,92.329545,0.011056
71,38,0,23,30,6.743529,5.380817,4.328922,2.409335,102.595537,-1.237806,92.121212,0.010366
71,39,0,23,30,6.735751,5.388104,4.363372,2.715326,98.543371,-1.266977,91.883117,0.010099
71,40,0,23,30,6.749470,5.379388,4.330629,2.454724,102.595537,-1.237806,92.121212,0.009113
71,41,0,23,30,6.722565,5.394124,4.291348,3.209208,98.543371,-1.266977,91.883117,0.008753
71,42,0,29,60,7.413022,9.422309,6.965978,6.910807,770.503507,-0.342025,65.621054,0.008047
71,43,0,23,30,6.681737,5.366518,4.409742,1.481682,112.297349,-1.158648,92.513369,0.007841
71,44,0,23,30,6.743068,4.712191,4.919479,2.170323,113.343385,-1.226695,92.329545,0.007659
71,45,0,24,31,8.719951,4.253904,5.415744,3.498795,31.727832,-4.107485,83.333333,0.007311
71,46,0,23,30,6.679117,5.377502,4.682262,1.568263,112.297349,-1.158648,92.513369,0.006758
71,47,0,23,30,6.690754,4.118249,4.613322,3.512599,72.881560,-1.432815,91.287879,0.006085
71,48,0,23,30,6.667662,5.423757,4.424118,1.118120,115.434913,-1.086089,92.676768,0.006007
71,49,0,23,30,6.667661,4.795451,4.424232,1.110672,115.434913,-1.086089,92.676768,0.005375
71,50,0,23,30,6.654850,5.345397,4.422080,0.904082,114.231507,-1.031161,92.822967,0.005375
71,51,0,23,30,6.732180,5.420221,4.372010,3.006939,98.543371,-1.266977,91.883117,0.004759
71,52,0,23,30,6.648005,6.556124,4.387835,1.222145,118.905428,-1.128421,92.513369,0.003048
71,53,0,23,30,6.650506,5.454295,4.354406,2.997255,100.752623,-1.247865,91.883117,0.002769
71,54,0,23,30,6.706229,5.374609,4.351819,3.206224,98.543371,-1.266977,91.883117,0.002769
71,55,0,23,30,6.645180,5.299910,4.338389,0.918459,117.682636,-1.064390,92.676768,0.002463
71,56,0,23,30,6.628925,5.321158,4.301907,2.965551,100.752623,-1.247865,91.883117,0.002310
71,57,0,23,30,6.675640,6.511580,4.322807,1.053276,115.434913,-1.086089,92.676768,0.002285
71,58,0,24,31,9.586921,5.927781,7.342230,5.820147,20.661263,-28.217172,83.333333,0.002175
71,59,0,24,31,9.533180,4.120487,7.441359,5.764649,20.472535,-28.271344,83.333333,0.001939
71,60,0,23,30,6.740530,4.421204,4.935128,2.199782,113.343385,-1.226695,92.329545,0.001912
71,61,0,24,30,8.190491,4.594673,7.495369,5.170889,30.117292,-17.088960,83.333333,0.001774
71,62,0,29,60,7.393979,9.295624,7.023782,6.946213,770.503507,-0.342025,65.621054,0.001714
71,63,0,23,30,6.622934,5.279585,4.464679,0.831923,117.682636,-1.064390,92.676768,0.001533
71,64,0,23,30,6.663125,5.422630,4.497760,1.124496,115.434913,-1.086089,92.676768,0.001515
71,65,0,23,30,6.662877,5.330520,4.426162,0.914397,114.231507,-1.031161,92.822967,0.001508
71,66,0,23,30,6.681363,5.343713,4.428493,1.454137,112.297349,-1.158648,92.513369,0.001311
71,67,0,23,30,6.631305,5.391479,4.436956,0.966834,117.682636,-1.064390,92.676768,0.001189
71,68,0,23,30,6.667416,5.355477,4.429182,0.844835,114.231507,-1.031161,92.822967,0.001189
71,69,0,23,30,6.740423,4.427658,4.935656,2.204315,113.343385,-1.226695,92.329545,0.001113
71,70,0,23,30,6.661969,5.384681,4.342670,0.875553,114.231507,-1.031161,92.822967,0.001113
71,71,0,23,30,6.679957,7.123243,4.427250,1.433437,112.297349,-1.158648,92.513369,0.001082
71,72,0,23,30,6.633527,5.343923,4.298241,1.470208,115.717320,-1.209903,92.329545,0.000955
71,73,0,23,30,6.644764,5.205632,4.343546,0.920375,117.682636,-1.064390,92.676768,0.000777
71,74,0,23,30,6.696111,5.365564,4.319152,3.180754,98.543371,-1.266977,91.883117,0.000684
71,75,0,23,30,6.626629,5.323351,4.301741,2.968492,100.752623,-1.247865,91.883117,0.000684
71,76,0,23,30,6.740649,4.416094,4.936319,2.197119,113.343385,-1.226695,92.329545,0.000398
71,77,0,23,30,6.616187,5.734596,4.353932,2.822753,100.752623,-1.247865,91.883117,0.000360
71,78,0,23,30,6.676180,6.520148,4.322210,1.075342,115.434913,-1.086089,92.676768,0.000354
71,79,0,24,31,9.545387,6.005181,7.139753,5.852872,20.472535,-28.271344,83.333333,0.000237
71,80,0,23,30,6.666798,5.362875,4.433590,0.840391,114.231507,-1.031161,92.822967,0.000000
71,81,0,23,30,6.666230,5.406372,4.436234,0.834353,114.231507,-1.031161,92.822967,0.000000
71,82,0,23,30,6.667469,5.392426,4.429150,0.845315,114.231507,-1.031161,92.822967,0.000000
71,83,0,23,30,6.666850,4.405666,4.429873,0.766297,114.231507,-1.031161,92.822967,0.000000
71,84,0,23,30,6.654124,5.350159,4.418522,0.905440,114.231507,-1.031161,92.822967,0.000000
71,85,0,23,30,6.669329,4.867405,4.424869,0.871499,114.231507,-1.031161,92.822967,0.000000
