Generation,FrontIndex,IndividualIndex,ROI,Risk,WinRate
291,0,0,1021.816699,-0.370898,67.459849
291,0,1,114.231507,-1.031161,92.822967
291,0,2,23.589621,-55.475638,83.333333
291,0,3,23.589621,-55.475638,83.333333
291,0,4,1021.816699,-0.370898,67.459849
291,0,5,239.619059,-0.445940,80.259804
291,0,6,30.117292,-17.088960,83.333333
291,0,7,127.978715,-1.576541,89.898990
291,0,8,44.741334,-7.259277,83.333333
291,0,9,196.540662,-0.547132,80.523165
291,0,10,76.564145,-3.653320,83.333333
291,0,11,127.978715,-1.576541,89.898990
291,0,12,36.742479,-11.028773,83.333333
291,0,13,34.408178,-15.460388,83.333333
291,0,14,49.684184,-4.160191,83.333333
291,0,15,239.619059,-0.445940,80.259804
291,0,16,196.540662,-0.547132,80.523165
291,0,17,47.324245,-7.086684,83.333333
291,0,18,42.270486,-9.649335,83.333333
291,0,19,44.741334,-7.259277,83.333333
291,0,20,121.223630,-1.468648,90.454545
291,0,21,30.117292,-17.088960,83.333333
291,0,22,34.408178,-15.460388,83.333333
291,0,23,49.684184,-4.160191,83.333333
291,0,24,126.269494,-3.226450,83.333333
291,0,25,74.049994,-1.457182,91.287879
291,0,26,106.066295,-1.351261,91.883117
291,0,27,36.742479,-11.028773,83.333333
291,0,28,127.978715,-1.576541,89.898990
291,0,29,42.270486,-9.649335,83.333333
291,0,30,74.049994,-1.457182,91.287879
291,0,31,122.718788,-1.447825,90.454545
291,0,32,96.687527,-1.393334,91.608392
291,0,33,86.892399,-3.245400,83.333333
291,0,34,93.806776,-1.396568,91.287879
291,0,35,96.687527,-1.393334,91.608392
291,0,36,77.735989,-1.399954,91.608392
291,0,37,102.595537,-1.237806,92.121212
291,0,38,115.717320,-1.209903,92.329545
291,0,39,114.231507,-1.031161,92.822967
291,0,40,102.595537,-1.237806,92.121212
291,0,41,102.595537,-1.237806,92.121212
291,0,42,76.564145,-3.653320,83.333333
291,0,43,86.892399,-3.245400,83.333333
291,0,44,115.717320,-1.209903,92.329545
291,0,45,118.905428,-1.128421,92.513369
291,0,46,118.905428,-1.128421,92.513369
291,0,47,93.806776,-1.396568,91.287879
291,0,48,112.297349,-1.158648,92.513369
291,0,49,23.589621,-55.475638,83.333333
291,0,50,115.434913,-1.086089,92.676768
291,0,51,114.231507,-1.031161,92.822967
291,0,52,117.682636,-1.064390,92.676768
291,0,53,44.741334,-7.259277,83.333333
291,0,54,121.223630,-1.468648,90.454545
291,0,55,122.718788,-1.447825,90.454545
291,0,56,102.595537,-1.237806,92.121212
291,0,57,47.324245,-7.086684,83.333333
291,0,58,96.687527,-1.393334,91.608392
291,0,59,74.049994,-1.457182,91.287879
291,0,60,47.324245,-7.086684,83.333333
291,0,61,117.682636,-1.064390,92.676768
291,0,62,42.270486,-9.649335,83.333333
291,0,63,122.718788,-1.447825,90.454545
291,0,64,47.324245,-7.086684,83.333333
291,0,65,118.905428,-1.128421,92.513369
291,0,66,126.269494,-3.226450,83.333333
291,0,67,112.297349,-1.158648,92.513369
291,0,68,115.434913,-1.086089,92.676768
