ShortMA,LongMA,BuyThresh,SellThresh,StopLoss,TakeProfit,ROI,Risk,WinRate,Strength,RawFitness,Density,SPEA2Fitness
28,52,9.29322,5.64994,8.99072,5.58352,12.135,-0.0873957,59.1006,87,0,0.488811,0.488811
30,58,9.78239,4.72754,6.88638,8.17657,78.3094,-0.182318,57.5406,88,0,0.479074,0.479074
27,33,3.36455,4.11474,8.20962,9.38803,60.3626,-0.196655,57.5945,88,0,0.475697,0.475697
9,39,8.68812,3.51244,6.18265,0.837897,34.1931,-0.0680887,62.8735,92,0,0.491262,0.491262
30,41,2.26052,4.7212,6.928,0.602472,0.806254,-0.0381507,63.8251,86,0,0.492871,0.492871
26,47,6.799,9.21236,1.62767,1.11629,104.761,-0.103981,53.9074,76,0,0.4839,0.4839
12,58,7.20252,0.612851,0.651499,4.77131,88.2619,-0.0733752,41.9642,26,76,0.485,76.485
13,33,5.91523,8.25546,8.7383,2.75515,1.14267,-0.0463425,61.051,85,92,0.492871,92.4929
25,73,8.21567,8.39143,6.26921,0.462966,-9.08578,-0.0256523,62.2478,79,178,0.493963,178.494
19,80,0.46102,3.42777,6.59371,7.0895,57.6219,-0.0818171,53.0688,72,252,0.491782,252.492
13,89,6.13482,3.25193,8.50343,1.16994,-59.1583,0.0238506,60.1012,29,342,0.49131,342.491
27,62,2.33782,9.9383,7.65753,1.9192,-34.4214,-0.0158115,59.4835,67,342,0.494068,342.494
13,62,3.16295,7.01934,8.76455,2.07654,-43.783,-0.00411882,59.6025,52,342,0.494621,342.495
12,70,7.6633,9.18788,8.50226,6.52411,-11.6638,-0.0479745,53.2562,64,431,0.493925,431.494
18,69,0.922967,5.34484,7.49561,7.10207,9.9477,-0.0600464,52.3254,70,503,0.493352,503.493
28,70,3.31256,2.38542,6.35008,2.42429,-13.354,-0.0333552,56.9339,73,526,0.494188,526.494
27,82,8.483,4.38777,7.14054,8.48481,-6.65668,-0.0491838,50.0028,50,573,0.493352,573.493
30,52,3.22525,5.51567,1.80267,5.79912,3.56959,-0.038059,43.3535,28,573,0.495106,573.495
14,57,7.37502,1.95815,1.14925,2.45475,4.14942,-0.0330481,45.2656,31,573,0.495106,573.495
19,80,7.8141,9.60366,4.05228,0.81964,-23.3844,-0.0105364,57.2068,65,605,0.496776,605.497
