ShortMA,LongMA,BuyThresh,SellThresh,StopLoss,TakeProfit,ROI,Risk,WinRate,Strength,RawFitness,Density,SPEA2Fitness
23,30,8.18271,10,9.48016,3.10355,47.8636,-2.95782,83.3333,12,0,0.5,0.5
22,30,9.93101,9.37007,8.97884,3.2848,37.2804,-5.21354,83.3333,15,0,0.5,0.5
24,30,8.58399,10,9.13266,3.64213,13.269,-23.4049,83.3333,2,324,0.120251,324.12
23,30,9.94663,9.36467,8.82448,3.32913,19.2141,-3.99796,83.3333,5,1429,0.493497,1429.49
23,30,8.39429,9.39786,9.43768,2.98841,47.8636,-2.95782,83.3333,12,0,0.5,0.5
21,30,9.33518,9.09101,8.73872,3.12322,96.0852,-1.03192,91.1091,21,0,0.5,0.5
23,30,8.86543,9.97567,10,3.03568,19.4523,-4.69917,83.3333,7,1408,0.5,1408.5
22,30,9.56314,9.0648,9.77557,3.14649,55.6865,-2.87792,83.3333,12,0,0.5,0.5
22,30,9.98738,9.39017,9.35631,3.27064,37.2804,-5.21354,83.3333,15,0,0.5,0.5
23,30,8.43807,9.99985,9.4372,2.20303,42.1708,-2.19116,83.3333,10,1125,0.46872,1125.47
23,33,8.53241,9.09348,9.99578,4.3822,35.4494,-0.298946,71.3338,2,2619,0.491824,2619.49
23,30,8.34203,10,9.36072,2.93008,47.8636,-2.95782,83.3333,12,0,0.5,0.5
24,31,9.38953,7.36764,7.59765,4.86199,28.2366,-6.87605,83.3333,15,187,0.404294,187.404
22,30,8.53321,10,10,4.16517,31.6312,-0.540719,80.9333,5,2516,0.486564,2516.49
23,30,8.54524,9.01068,9.41375,4.22343,37.2804,-5.21354,83.3333,15,0,0.5,0.5
23,30,8.36082,9.96365,9.45156,3.03126,47.8636,-2.95782,83.3333,12,0,0.5,0.5
24,30,8.34533,9.99421,9.43885,3.0235,19.2141,-3.99796,83.3333,5,1429,0.493497,1429.49
21,30,9.24575,9.10329,9.79781,3.67752,88.9469,-2.05975,83.3333,18,0,0.5,0.5
21,30,9.41807,9.088,8.76972,3.20476,96.0852,-1.03192,91.1091,21,0,0.5,0.5
23,30,8.56539,9.96915,9.63786,3.08841,43.2579,-3.47771,83.3333,11,0,0.5,0.5
23,30,8.55801,10,9.4331,3.01562,43.2579,-3.47771,83.3333,11,0,0.5,0.5
23,30,8.55594,9.96813,9.43972,3.06161,43.2579,-3.47771,83.3333,11,0,0.5,0.5
23,30,8.34717,9.12478,9.64006,3.16065,47.8636,-2.95782,83.3333,12,0,0.5,0.5
24,31,9.48095,8.76961,7.64927,6.24808,22.0819,-15.8001,83.3333,14,495,0.304053,495.304
22,32,9.56304,9.0715,9.79798,3.53213,24.1658,-0.348221,73.8165,2,3130,0.486508,3130.49
23,30,8.54496,9.82233,9.43921,3.06234,43.2579,-3.47771,83.3333,11,0,0.5,0.5
27,56,8.10325,7.13053,7.65714,7.54158,598.92,-0.33487,66.052,5,21,0.493883,21.4939
21,30,9.93574,9.36983,8.99092,3.28186,53.655,-0.888137,86.49,12,441,0.464576,441.465
23,30,8.53475,8.87342,9.46824,4.14106,37.2804,-5.21354,83.3333,15,0,0.5,0.5
23,30,8.53096,9.97454,9.57017,4.45277,37.2804,-5.21354,83.3333,15,0,0.5,0.5
23,30,8.28592,9.99196,9.43563,3.00877,47.8636,-2.95782,83.3333,12,0,0.5,0.5
23,33,8.33875,10,9.45138,3.02007,44.7992,-0.28482,72.1612,4,1384,0.490938,1384.49
25,38,9.58253,8.58569,8.63321,3.07183,84.5869,-0.425505,75.8519,13,563,0.494324,563.494
25,32,9.12147,7.80651,7.23249,5.01019,28.0752,-31.836,83.3333,18,0,0.5,0.5
27,56,8.03174,7.25303,7.63896,7.88722,606.087,-0.332348,65.4832,5,21,0.49398,21.494
23,30,8.34911,10,9.7744,3.07153,47.8636,-2.95782,83.3333,12,0,0.5,0.5
22,31,9.07031,8.01332,9.40581,3.73534,85.7856,-2.33475,83.3333,19,0,0.466148,0.466148
30,49,9.43017,8.39829,6.00696,6.86592,80.0705,-0.323012,63.3389,2,786,0.485146,786.485
21,30,8.35759,9.9999,10,2.85541,38.9093,-0.315297,74.2234,4,1737,0.491646,1737.49
22,30,8.34717,10,9.439,3.02355,58.4558,-0.83222,87.9192,12,441,0.457979,441.458
22,30,8.36948,10,9.77456,3.04974,36.7103,-0.652898,84.177,7,465,0.462561,465.463
25,38,9.58757,8.1505,9.53119,3.01277,80.0652,-0.403187,75.3611,8,732,0.494324,732.494
21,30,10,9.71913,9.87124,3.61002,83.0645,-2.63205,83.3333,18,0,0.5,0.5
23,32,8.53392,10,9.41632,4.12721,28.5558,-0.406793,72.3738,2,2767,0.489882,2767.49
23,30,8.39288,10,9.43533,3.01976,47.8636,-2.95782,83.3333,12,0,0.5,0.5
23,30,8.35936,9.99994,9.62211,2.84726,47.8636,-2.95782,83.3333,12,0,0.5,0.5
21,30,9.25654,8.99684,9.73289,3.64253,88.9469,-2.05975,83.3333,18,0,0.5,0.5
21,30,9.37592,9.03398,8.52178,3.21246,96.0852,-1.03192,91.1091,21,0,0.5,0.5
23,30,8.54322,9.99091,9.6076,4.11571,37.2804,-5.21354,83.3333,15,0,0.5,0.5
21,30,8.35963,10,9.45136,3.03908,73.2037,-0.493516,78.9583,10,677,0.493729,677.494
21,30,9.37204,9.05278,8.75252,3.18493,96.0852,-1.03192,91.1091,21,0,0.5,0.5
23,30,8.36151,9.29125,9.42215,3.09515,47.8636,-2.95782,83.3333,12,0,0.5,0.5
23,30,8.66925,9.51844,9.45493,3.01431,19.4523,-4.69917,83.3333,7,1408,0.5,1408.5
30,47,9.46117,9.09052,5.82839,6.28733,81.1981,-0.368064,65.8339,3,752,0.487448,752.487
23,30,8.57428,9.98736,9.45183,3.05653,19.4523,-4.69917,83.3333,7,1408,0.5,1408.5
