Generation,IndividualID,FrontRank,ShortMA,LongMA,BuyThresh,SellThresh,StopLoss,TakeProfit,ROI,Risk,WinRate,CrowdingDistance
161,0,0,28,56,7.334863,7.596649,7.524322,7.970174,994.367752,-0.371581,67.231873,inf
161,1,0,21,30,9.218330,2.191216,3.937425,0.885258,82.909251,-0.939823,92.121212,inf
161,2,0,29,36,2.518505,4.598600,6.995609,0.841644,1042.782342,-0.339675,76.364685,inf
161,3,0,29,36,3.470423,3.494934,6.510722,0.185861,273.664537,-0.307569,78.678562,inf
161,4,0,25,32,9.113132,5.707564,5.781404,5.048996,28.075157,-31.835982,83.333333,inf
161,5,0,25,32,9.105431,5.637423,5.674219,5.616285,28.075157,-31.835982,83.333333,inf
161,6,0,22,30,9.667727,1.580430,9.902297,6.435924,35.261202,-17.349202,83.333333,0.888160
161,7,0,30,60,6.450337,6.968006,10.000000,8.655388,606.477228,-0.348383,68.359799,0.624058
161,8,0,24,31,9.394502,1.932162,4.614876,7.575518,35.575696,-4.066761,83.333333,0.421595
161,9,0,29,36,2.545478,4.881591,7.049465,0.835036,934.868026,-0.339094,76.664332,0.377245
161,10,0,29,36,3.387317,4.447056,6.965011,1.678387,443.322087,-0.393828,75.836611,0.338859
161,11,0,29,36,3.469730,3.475425,6.474047,0.196192,273.664537,-0.307569,78.678562,0.159478
161,12,0,29,38,5.224278,2.827580,4.835266,1.447403,236.649958,-0.636656,81.850849,0.149106
161,13,0,30,36,2.680707,4.706930,6.804692,0.819279,481.769158,-0.347608,76.222574,0.145211
161,14,0,30,60,6.448635,6.968442,10.000000,8.672296,606.477228,-0.348383,68.359799,0.134782
161,15,0,29,36,3.469843,3.557643,6.488756,0.211059,274.761885,-0.310643,78.584452,0.131585
161,16,0,29,36,3.468727,5.051113,6.680026,0.902726,404.346422,-0.360064,77.071560,0.127706
161,17,0,25,32,5.976473,0.789994,8.578103,2.015365,117.027645,-0.736114,86.301327,0.125709
161,18,0,25,32,9.094922,6.684086,5.672855,5.574039,28.075157,-31.835982,83.333333,0.119248
161,19,0,25,32,6.059369,0.361752,7.980636,2.016294,114.635417,-0.709823,86.639156,0.087689
161,20,0,28,56,7.316805,7.615837,7.526884,7.960439,994.367752,-0.371581,67.231873,0.077781
161,21,0,29,38,5.113296,4.110371,6.264695,1.517304,210.470044,-0.545327,82.348598,0.072729
161,22,0,26,34,6.038347,0.580382,8.120305,0.816097,138.308713,-0.640490,88.472743,0.071188
161,23,0,26,34,6.199289,1.526392,8.102963,0.830710,136.284948,-0.650188,88.269179,0.069377
161,24,0,29,36,3.470171,3.511725,6.480594,0.208441,274.761885,-0.310643,78.584452,0.062769
161,25,0,29,36,3.462226,5.293080,6.673997,0.865438,404.346422,-0.360064,77.071560,0.060805
161,26,0,29,38,5.117170,4.175213,6.212170,1.433746,214.730619,-0.543609,82.604103,0.055605
161,27,0,29,36,3.468737,5.036060,6.420597,0.902978,404.346422,-0.360064,77.071560,0.055138
161,28,0,21,30,10.000000,0.509981,10.000000,5.941245,67.388475,-1.904684,88.311688,0.049691
161,29,0,29,36,2.521413,4.599244,6.988890,0.842240,1042.782342,-0.339675,76.364685,0.047731
161,30,0,29,38,5.214868,3.043878,4.822836,1.439972,241.269800,-0.633215,82.163934,0.044613
161,31,0,28,57,7.286751,7.191440,7.559906,8.004123,981.434693,-0.383253,67.971168,0.043315
161,32,0,28,57,7.308501,6.494699,7.642668,8.095412,967.962591,-0.395278,68.065695,0.041117
161,33,0,24,31,9.392411,1.926943,4.639083,7.532199,35.575696,-4.066761,83.333333,0.040626
161,34,0,21,30,10.000000,1.553112,9.966518,5.937876,79.854981,-3.446935,83.333333,0.036592
161,35,0,21,30,9.768477,0.104491,5.824025,3.224893,73.751120,-1.564296,89.898990,0.035614
161,36,0,30,36,2.723343,4.692451,6.778259,0.843419,469.646597,-0.359425,76.567724,0.034849
161,37,0,21,30,9.419431,1.652175,9.985050,5.753866,85.634299,-2.482894,83.333333,0.031346
161,38,0,29,36,3.387886,4.441035,6.964401,1.672350,443.322087,-0.393828,75.836611,0.031334
161,39,0,25,32,9.086477,5.739079,5.789561,5.645418,28.075157,-31.835982,83.333333,0.029299
161,40,0,21,30,9.992318,0.100000,6.233356,3.502342,67.912976,-1.617800,89.204545,0.027901
161,41,0,21,30,9.980519,0.100406,6.201218,3.474332,67.912976,-1.617800,89.204545,0.027219
161,42,0,21,30,9.770543,0.108411,5.878105,3.216464,81.316583,-1.542266,90.454545,0.026978
161,43,0,21,30,10.000000,0.172969,4.147208,3.216492,83.563984,-1.290067,90.909091,0.026629
161,44,0,26,34,6.031944,0.100000,7.518213,0.798746,135.992733,-0.638197,88.569330,0.025522
161,45,0,21,30,10.000000,0.106568,5.895945,3.216459,81.316583,-1.542266,90.454545,0.024460
161,46,0,21,30,9.991649,0.100000,6.724492,3.222925,73.751120,-1.564296,89.898990,0.023989
161,47,0,26,34,6.129931,0.564628,8.447888,0.441954,94.029686,-0.596212,91.665222,0.022791
161,48,0,25,32,6.006131,0.514373,8.698091,2.072694,117.027645,-0.736114,86.301327,0.020355
