timeOpen,timeClose,timeHigh,timeLow,priceOpen,priceHigh,priceLow,priceClose,volume
1.64527E+12,1.64536E+12,1.64528E+12,1.64532E+12,2784.872899,2826.34791,2707.378455,2763.701214,9774183169
1.64519E+12,1.64527E+12,1.64522E+12,1.64525E+12,2884.340648,2937.308674,2761.643245,2785.727491,15748173433
1.6451E+12,1.64519E+12,1.6451E+12,1.64518E+12,3126.8585,3154.61527,2861.852063,2881.482038,15860206214
1.64501E+12,1.6451E+12,1.64501E+12,1.64507E+12,3180.446804,3181.616886,3055.168205,3127.830117,12352406833
1.64493E+12,1.64501E+12,1.64501E+12,1.64493E+12,2933.729103,3185.520701,2917.857288,3179.877076,13921257873
1.64484E+12,1.64493E+12,1.64489E+12,1.64485E+12,2880.187676,2957.963729,2840.257514,2933.479036,12164552172
1.64475E+12,1.64484E+12,1.64481E+12,1.64482E+12,2916.78947,2947.776596,2845.397613,2883.463488,9054963563
1.64467E+12,1.64475E+12,1.64474E+12,1.64472E+12,2927.386411,2980.079423,2870.177012,2917.362682,11254355757
1.64458E+12,1.64467E+12,1.64463E+12,1.64466E+12,3077.413063,3127.450728,2888.707869,2927.383633,16043881065
1.64449E+12,1.64458E+12,1.64454E+12,1.64458E+12,3240.113144,3271.316154,3070.378104,3077.482239,18629485080
1.64441E+12,1.64449E+12,1.64448E+12,1.64443E+12,3121.182543,3263.155715,3063.160198,3239.457115,13951308490
1.64432E+12,1.64441E+12,1.64434E+12,1.64439E+12,3143.008465,3219.472605,3038.377827,3122.608569,17136080906
1.64424E+12,1.64432E+12,1.64431E+12,1.64424E+12,3057.421998,3182.52844,3002.927079,3142.470615,15197063785
1.64415E+12,1.64424E+12,1.64423E+12,1.6442E+12,3014.959756,3061.261152,2965.42995,3057.476124,9466018022
1.64406E+12,1.64415E+12,1.64412E+12,1.64407E+12,2984.446001,3054.130158,2966.780961,3014.64831,13102093957
1.64398E+12,1.64406E+12,1.64406E+12,1.64398E+12,2681.057588,2983.586995,2675.44395,2983.586995,18987223729
1.64389E+12,1.64398E+12,1.64389E+12,1.64396E+12,2682.22604,2712.482755,2587.783362,2679.162508,12755505065
1.6438E+12,1.64389E+12,1.64385E+12,1.64388E+12,2791.958878,2802.212079,2630.120305,2682.853983,13876301217
1.64372E+12,1.6438E+12,1.64378E+12,1.64372E+12,2687.898952,2802.315458,2682.621877,2792.117244,13194846235
1.64363E+12,1.64372E+12,1.64371E+12,1.64365E+12,2603.263396,2697.735368,2489.072176,2688.278922,13778234614
1.64354E+12,1.64363E+12,1.64359E+12,1.64362E+12,2598.56499,2631.408416,2550.461009,2603.466582,9501221177
1.64346E+12,1.64354E+12,1.64353E+12,1.64347E+12,2546.590514,2627.60941,2526.989644,2597.084692,11172062661
1.64337E+12,1.64346E+12,1.64346E+12,1.64342E+12,2421.64691,2548.778569,2367.833737,2547.091978,14666227351
1.64328E+12,1.64337E+12,1.64334E+12,1.64336E+12,2467.18846,2510.451687,2328.452267,2423.001263,16126522783
1.6432E+12,1.64328E+12,1.64327E+12,1.64328E+12,2455.579072,2705.784066,2417.683207,2468.030278,21229909340
1.64311E+12,1.6432E+12,1.64318E+12,1.64314E+12,2440.39346,2498.507013,2359.384848,2455.934962,16179776932
1.64303E+12,1.64311E+12,1.64303E+12,1.64308E+12,2535.891002,2537.208516,2172.301153,2440.352326,28220804648
1.64294E+12,1.64303E+12,1.64297E+12,1.64301E+12,2406.924416,2542.144738,2381.515159,2535.039051,16481489511
1.64285E+12,1.64294E+12,1.64286E+12,1.64289E+12,2561.145322,2615.247244,2330.247274,2405.181065,27369692036
1.64277E+12,1.64285E+12,1.64277E+12,1.64285E+12,3002.956891,3029.081018,2496.813074,2557.931623,26796291874
1.64268E+12,1.64277E+12,1.64274E+12,1.64277E+12,3095.271612,3265.336814,3000.908133,3001.120038,10645922764
1.64259E+12,1.64268E+12,1.6426E+12,1.64262E+12,3163.850271,3171.158398,3055.212378,3095.825838,13187424144
1.64251E+12,1.64259E+12,1.64251E+12,1.64257E+12,3212.287602,3236.016147,3096.12346,3164.025254,13024154091
1.64242E+12,1.64251E+12,1.64242E+12,1.6425E+12,3350.947177,3355.81933,3157.224166,3212.304897,12344309617
1.64233E+12,1.64242E+12,1.64239E+12,1.64238E+12,3330.387095,3376.401202,3291.563722,3350.921969,9505934874
1.64225E+12,1.64233E+12,1.64232E+12,1.64229E+12,3309.84421,3364.537728,3278.670899,3330.530846,9619999078
1.64216E+12,1.64225E+12,1.64224E+12,1.64221E+12,3248.648801,3330.766187,3203.823761,3310.001423,13562957230
1.64208E+12,1.64216E+12,1.64213E+12,1.64215E+12,3372.104953,3396.969712,3247.917428,3248.288476,15294466275
1.64199E+12,1.64208E+12,1.64207E+12,1.64202E+12,3238.449992,3401.219927,3216.717951,3372.258326,16662871689
1.6419E+12,1.64199E+12,1.64196E+12,1.64191E+12,3082.990962,3247.511986,3061.140693,3238.111649,15211447193
1.64182E+12,1.6419E+12,1.64183E+12,1.64187E+12,3157.570467,3177.213464,2947.683613,3083.097949,19535744145
