Generation,FrontIndex,IndividualIndex,ROI,Risk,WinRate
1,0,0,25.725336,-0.284873,65.346844
1,1,0,-11.089620,-0.049220,52.558444
1,1,1,-1.277351,-0.037131,55.741151
1,1,2,-4.687490,-0.037967,58.859494
1,1,3,4.094169,-0.034184,63.563763
1,2,0,-3.265432,-0.035342,51.594727
1,2,1,-16.667096,-0.024545,54.858909
1,2,2,-25.553158,-0.016589,58.225698
1,2,3,-65.557656,0.020121,59.399091
1,2,4,-26.783549,0.041472,59.736875
1,3,0,-3.833768,-0.020806,51.521988
1,3,1,-34.440869,-0.007716,54.203630
1,3,2,-36.851373,-0.012627,55.184914
1,3,3,-36.851373,-0.012627,55.184914
1,3,4,-46.889738,0.011353,56.789060
1,3,5,-28.560723,0.102024,56.804896
1,3,6,-78.507369,0.087024,57.951601
1,4,0,-23.913679,-0.008758,50.364663
1,4,1,-24.487199,-0.011524,50.610085
1,4,2,-24.487199,-0.011524,50.610085
1,4,3,-43.979717,-0.018712,50.720786
1,4,4,-49.900865,0.001969,50.892610
1,4,5,-50.957368,0.009698,51.625993
1,4,6,-68.051382,0.069738,52.310540
1,4,7,-81.936180,0.086933,53.389258
1,4,8,-46.627054,0.158336,54.361970
1,4,9,-82.307283,0.065142,56.670936
1,5,0,-32.970981,-0.009828,46.965169
1,5,1,-35.149594,-0.000359,48.620671
1,5,2,-35.207743,0.001318,49.959477
1,5,3,-24.790513,0.026069,50.510603
1,5,4,-51.600327,0.007208,50.740677
1,5,5,-53.353390,0.013451,51.523762
1,5,6,-64.283846,0.041870,51.576017
1,5,7,-83.540897,0.073830,53.226628
1,5,8,-86.286383,0.077899,55.671228
1,6,0,-43.287291,0.033162,44.635772
1,6,1,-44.907522,0.009474,48.892528
1,6,2,-47.194323,0.014574,48.997978
1,6,3,-50.966848,0.020248,49.402505
1,6,4,-56.394375,0.018377,50.970275
1,6,5,-69.783056,0.056125,50.975719
1,6,6,-69.661652,0.073464,51.260328
1,7,0,-53.356465,0.011985,44.722853
1,7,1,-52.602097,0.014943,47.495297
1,7,2,-45.776390,0.015285,47.983689
1,7,3,-65.036706,0.019338,48.463864
1,7,4,-67.563751,0.030651,49.202735
1,7,5,-66.026305,0.044783,50.839894
1,8,0,-46.118321,0.066333,36.080221
1,8,1,-49.959490,0.026240,37.383443
1,8,2,-87.792403,0.143028,50.237610
1,8,3,-52.796328,0.041958,46.487750
1,8,4,-71.117015,0.036986,39.589297
1,8,5,-74.433896,0.091406,48.412450
1,8,6,-75.243570,0.071114,49.212824
1,8,7,-74.184709,0.087716,47.931715
1,8,8,-47.842014,0.073649,36.675833
1,9,0,-53.484118,0.032245,35.576863
1,9,1,-69.927163,0.031133,34.280023
1,9,2,-67.900878,0.027141,33.182951
1,9,3,-69.927163,0.031133,34.280023
1,9,4,-74.205244,0.057032,41.645513
1,9,5,-64.143400,0.049487,38.592835
1,9,6,-77.248441,0.039443,35.766571
1,9,7,-74.490174,0.091635,48.406904
1,9,8,-75.851614,0.072602,49.147879
1,9,9,-75.851614,0.072602,49.147879
1,10,0,-54.700206,0.034519,35.278375
1,10,1,-71.435483,0.074760,37.572308
1,10,2,-75.665764,0.053753,36.894834
1,10,3,-70.215009,0.083239,38.369477
1,10,4,-77.062752,0.077004,47.740796
1,11,0,-55.820163,0.035843,35.190258
1,11,1,-76.438716,0.087870,37.890255
1,11,2,-85.116040,0.109512,39.738874
1,11,3,-82.296839,0.125177,38.001723
1,11,4,-83.980935,0.115926,46.119379
1,11,5,-86.070722,0.084456,37.500170
1,11,6,-86.070722,0.084456,37.500170
1,11,7,-84.193144,0.110159,47.174636
1,12,0,-76.700249,0.051832,31.280987
1,12,1,-79.089563,0.092805,37.307184
1,12,2,-79.487412,0.090492,37.392700
1,12,3,-86.122143,0.185189,38.972257
1,12,4,-87.958366,0.179667,46.323329
1,12,5,-87.958366,0.179667,46.323329
1,12,6,-84.942811,0.179808,38.268212
1,13,0,-81.544948,0.105637,37.162780
1,13,1,-87.671425,0.206994,38.458546
1,13,2,-88.416167,0.200611,38.200012
1,14,0,-83.229284,0.108961,36.672992
1,14,1,-90.883892,0.107623,35.693615
1,15,0,-88.564161,0.141470,35.020776
1,15,1,-86.560855,0.179498,36.560392
1,16,0,-91.026898,0.146448,32.482127
1,16,1,-88.825995,0.205089,35.573359
1,17,0,-92.316812,0.158669,32.324722
1,17,1,-92.667872,0.155830,32.039817
1,18,0,-93.181545,0.161902,31.510107
